target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,da_cue,da_target,da_word_combo_related,da_word_combo_unrelated,da_cue_word_related,da_cue_word_unrelated
band,593.162054930277,687.81311628344,-0.387448189490589,-0.120791695204827,32.7154391377013,59.5997537455367,0.118237142289012,0.195225031636157,55,52,0,0,51,43,51,45,0,0,1,0.955555555555556,55,52,0,0,43,45,51,45,0,0,0.843137254901961,1,51,43,94.6510613531638,0.266656494285762,da,orchestra,band,orkester,band,orkesterband,afstandband,orkester,afstand
bar,582.773396227651,619.663328301442,-0.551967480027867,-0.440980697874157,26.601353954919,38.599777568093,0.0757512094859872,0.121781572033167,58,55,0,0,53,53,53,54,0,0,1,0.981481481481482,57,55,1,0,52,52,52,54,1,0,1,0.962962962962963,53,53,36.8899320737901,0.110986782153709,da,club,bar,klub,bar,klubbar,mentalbar,klub,mental
barn,540.831357148145,522.099730778549,-0.685682162200223,-0.781990387380785,28.9097535483118,20.2975176977642,0.0658479452895323,0.0508342333175219,62,55,1,0,57,52,57,52,0,0,1,1,62,55,1,0,55,51,57,52,0,0,0.964912280701754,0.980769230769231,56,52,-18.7316263695959,-0.0963082251805619,da,baby,child,baby,barn,babybarn,undersøgebarn,baby,undersøge
barndom,538.993230764528,628.993365854996,-0.64800338869985,-0.444976775709702,18.6372597475087,35.6238977435253,0.0591045860637424,0.102533231554711,56,52,1,0,52,41,52,41,1,0,1,1,56,52,1,0,50,40,52,41,1,0,0.961538461538462,0.975609756097561,52,41,90.0001350904679,0.203026612990148,da,youth,childhood,ungdom,barndom,ungdombarndom,lovbarndom,ungdom,lov
baseball,692.912795913381,799.343390682139,-0.0694491638621139,0.177746047274203,33.4670925158712,50.4175972534196,0.143878930438466,0.172533464961015,51,54,0,0,49,43,51,45,0,0,0.96078431372549,0.955555555555556,51,54,0,0,51,44,51,45,0,0,1,0.977777777777778,49,43,106.430594768758,0.247195211136317,da,stadium,baseball,stadion,baseball,stadionbaseball,engelbaseball,stadion,engel
bataljon,878.056521275245,951.497000030903,0.439423871939381,0.814262065291181,41.9713969223204,59.293562782845,0.1313452299955,0.242157146324584,133,53,3,0,94,35,116,50,3,0,0.810344827586207,0.7,134,53,2,0,107,47,117,50,2,0,0.914529914529915,0.94,94,35,73.4404787556574,0.3748381933518,da,regiment,battalion,regiment,bataljon,regimentbataljon,kanelbataljon,regiment,kanel
batman,676.142185183376,774.509599984791,-0.136008918264801,-0.0106800170158131,33.8231334671772,72.4649181596558,0.166036672522898,0.157204585780155,62,51,3,0,54,46,54,48,2,0,1,0.958333333333333,64,50,1,1,54,47,56,47,0,1,0.964285714285714,1,54,45,98.367414801415,0.125328901248988,da,superman,batman,superman,batman,supermanbatman,hvilebatman,superman,hvile
bedrageri,625.570520832045,670.091775506512,-0.301259466467899,-0.246529839469372,20.5757612877023,25.9442614952503,0.0719454764820594,0.0708218677786653,51,51,0,1,48,49,49,50,0,1,0.979591836734694,0.98,49,51,2,1,45,48,47,50,2,1,0.957446808510638,0.96,48,49,44.5212546744676,0.0547296269985266,da,conspiracy,fraud,sammensværgelse,bedrageri,sammensværgelsebedrageri,nubedrageri,sammensværgelse,nu
bedstemor,518.309196078119,648.512901654646,-0.788112502001079,-0.282903742641725,23.4547390860522,24.147722811373,0.0526525776238466,0.0891235362223095,56,68,1,0,51,61,51,61,0,0,1,1,56,68,1,0,50,61,51,61,0,0,0.980392156862745,1,51,61,130.203705576527,0.505208759359353,da,grandfather,grandmother,bedstefar,bedstemor,bedstefarbedstemor,tiltrækkendebedstemor,bedstefar,tiltrækkende
begejstret,808.735680002558,791.538592112287,0.218852933875057,0.141637224080255,55.6110189004304,39.0227621045251,0.152443773269091,0.108014058584914,58,92,0,0,50,76,55,81,0,0,0.909090909090909,0.938271604938272,58,92,0,0,55,73,55,81,0,0,1,0.901234567901235,50,76,-17.1970878902714,-0.0772157097948023,da,proud,excited,stolt,begejstret,stoltbegejstret,teenageagtigbegejstret,stolt,teenageagtig
begivenhed,595.213637679055,639.305122805713,-0.507847153929325,-0.367104380421969,26.0982653420504,33.2181824785234,0.0582130675056383,0.0822752431988089,83,60,0,2,69,57,71,57,0,0,0.971830985915493,1,83,60,0,2,68,56,71,57,0,0,0.957746478873239,0.982456140350877,69,57,44.0914851266576,0.140742773507357,da,phenomenon,event,fænomen,begivenhed,fænomenbegivenhed,forkertbegivenhed,fænomen,forkert
