target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,pl_cue,pl_target,pl_word_combo_related,pl_word_combo_unrelated,pl_cue_word_related,pl_cue_word_unrelated
aresztować,656.096337362421,746.256261542711,-0.246845800810169,0.0112966585589743,20.9340271388153,29.8508586171407,0.0788439010607747,0.102848273551608,88,73,3,2,83,65,84,65,0,0,0.988095238095238,1,88,72,3,3,79,64,84,64,0,1,0.94047619047619,1,83,65,90.1599241802901,0.258142459369143,pl,punish,arrest,karać,aresztować,karaćaresztować,nigdyaresztować,karać,nigdy
armia,543.636603163604,619.359892309895,-0.678941770088664,-0.410021233008043,14.1205565918454,26.7510175050753,0.0519650934058322,0.07730733508828,70,70,4,1,63,65,65,67,1,1,0.969230769230769,0.970149253731343,70,70,4,1,62,62,65,67,1,1,0.953846153846154,0.925373134328358,63,65,75.7232891462909,0.268920537080621,pl,legion,army,legion,armia,legionarmia,tostarmia,legion,tost
arogancja,761.511510004471,797.57479686334,0.0941466938887253,0.143295003298926,28.9687746973777,39.8323899872138,0.0881285160643884,0.0941508943165932,110,69,1,3,100,64,103,67,0,0,0.970873786407767,0.955223880597015,109,69,2,3,92,67,102,67,1,0,0.901960784313726,1,100,64,36.0632868588685,0.049148309410201,pl,ignorance,arrogance,ignorancja,arogancja,ignorancjaarogancja,prywatnyarogancja,ignorancja,prywatny
artyleria,787.612559322103,816.703944438786,0.158580293441586,0.404942429408347,26.6746353526431,37.740846805042,0.0881082453817382,0.140088970004998,137,73,1,1,118,54,123,66,0,0,0.959349593495935,0.818181818181818,137,72,1,2,117,66,123,66,0,0,0.951219512195122,1,118,54,29.0913851166832,0.246362135966761,pl,cavalry,artillery,kawaleria,artyleria,kawaleriaartyleria,zablokowanyartyleria,kawaleria,zablokowany
asystent,662.575802627458,663.519510638505,-0.321590655549165,-0.279060558668074,23.0084689469832,19.6643321155762,0.0751340592158646,0.0688985232892348,82,108,1,5,76,94,78,98,0,2,0.974358974358974,0.959183673469388,82,109,1,4,76,92,78,99,0,1,0.974358974358974,0.929292929292929,76,94,0.943708011047079,0.0425300968810906,pl,secretary,assistant,sekretarz,asystent,sekretarzasystent,trampkiasystent,sekretarz,trampki
atak,580.308547811208,649.365783789714,-0.625834986136785,-0.321294848832746,11.5477414274167,30.7574855238421,0.0436074517041952,0.0990223027890404,128,79,3,1,115,74,116,76,1,1,0.991379310344828,0.973684210526316,128,79,3,1,113,76,116,76,1,1,0.974137931034483,1,115,74,69.0572359785065,0.304540137304039,pl,invasion,attack,inwazja,atak,inwazjaatak,ślimakatak,inwazja,ślimak
atlantycki,772.416521731286,836.38026804835,0.0585196377056882,0.378861728720756,49.7664020149634,31.2823816071513,0.158056892066144,0.112385269885935,75,114,2,1,69,97,71,102,0,1,0.971830985915493,0.950980392156863,75,115,2,0,60,100,71,103,0,0,0.845070422535211,0.970873786407767,69,97,63.9637463170639,0.320342091015068,pl,pacific,atlantic,pacyfik,atlantycki,pacyfikatlantycki,sławaatlantycki,pacyfik,sława
atmosfera,639.443846137094,634.98754761715,-0.379332061148526,-0.323246448019739,28.1650695060896,21.1772757679647,0.0961067526662744,0.0667642176605037,104,90,2,3,91,84,92,84,2,0,0.989130434782609,1,105,89,1,4,92,83,93,84,1,0,0.989247311827957,0.988095238095238,91,84,-4.45629851994408,0.0560856131287863,pl,environment,atmosphere,środowisko,atmosfera,środowiskoatmosfera,cennyatmosfera,środowisko,cenny
autobus,578.576329697601,552.952521744019,-0.571909047384703,-0.623927873157969,17.174329039571,17.3603469669384,0.0765600990306926,0.0593935873575853,100,80,1,1,91,69,91,70,0,0,1,0.985714285714286,99,80,2,1,89,69,90,70,1,0,0.988888888888889,0.985714285714286,91,69,-25.6238079535818,-0.0520188257732663,pl,train,bus,pociąg,autobus,pociągautobus,obrazautobus,pociąg,obraz
autorytet,631.3294262384,715.897991518906,-0.283303809956997,-0.0829710006021498,23.09227636386,18.4588070393649,0.0649844126868419,0.0622827320719437,69,128,1,3,61,118,62,121,0,0,0.983870967741935,0.975206611570248,69,128,1,3,35,120,62,121,0,0,0.564516129032258,0.991735537190083,61,118,84.5685652805058,0.200332809354847,pl,jurisdiction,authority,jurysdykcja,autorytet,jurysdykcjaautorytet,inżynierautorytet,jurysdykcja,inżynier
