target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,sk_cue,sk_target,sk_word_combo,unrelated_sk_cue
vydieranie,667.430142919383,812.337384606963,-0.140430958252139,0.28535595480255,48.9952754308818,84.8531914946229,0.088047452277232,0.235069593543558,15,30,6,7,14,26,14,26,0,0,1,1,15,30,6,7,14,26,14,26,0,0,1,1,14,26,144.907241687579,0.425786913054689,sk,bribe,blackmail,úplatok,vydieranie,úplatokvydieranie,poľnohospodár
vyhlásenie,633.391219514187,661.842179498552,-0.285076364721247,-0.362746044808669,23.3588693321915,37.6448894548098,0.0789532060477576,0.099254389901381,43,43,1,5,41,39,41,40,0,0,1,0.975,43,43,1,5,40,39,41,40,0,0,0.975609756097561,0.975,41,39,28.4509599843645,-0.0776696800874216,sk,comment,statement,komentár,vyhlásenie,komentárvyhlásenie,otráviť
vyhrať,624.791135140939,491.91452174461,-0.377155028121828,-0.769121694298574,33.741087040755,26.6795367869636,0.110870736680569,0.0889860069378179,40,29,7,7,37,23,37,23,0,0,1,1,40,29,7,7,37,23,37,23,0,0,1,1,37,23,-132.876613396329,-0.391966666176746,sk,gain,win,získať,vyhrať,získaťvyhrať,chlieb
vyjadriť,568.44022221558,632.205937514919,-0.49676910960593,-0.365002353482704,18.0423523959931,72.5789660437538,0.0777206927031157,0.248702286199298,21,35,4,4,18,32,18,32,0,0,1,1,21,35,4,4,18,32,18,32,0,0,1,1,18,32,63.7657152993386,0.131766756123225,sk,describe,express,opísať,vyjadriť,opísaťvyjadriť,nevinný
vynikajúci,615.440285707832,848.453166665573,-0.336260716827102,0.262962219236909,29.7012653202902,79.8619029129226,0.1352336467789,0.234930069118553,33,30,8,8,28,24,28,24,0,1,1,1,33,28,8,10,27,24,28,24,0,1,0.964285714285714,1,28,24,233.012880957741,0.599222936064011,sk,tasty,delicious,chutný,vynikajúci,chutnývynikajúci,vagína
vypočítať,587.319111101838,581.586333358874,-0.612859264304457,-0.442583291692965,35.0911211364071,34.1739443862769,0.104723389347081,0.126701419611831,29,29,3,4,27,27,27,27,0,0,1,1,27,30,5,3,25,27,26,27,1,0,0.961538461538462,1,27,27,-5.73277774296434,0.170275972611493,sk,count,calculate,počítať,vypočítať,počítaťvypočítať,med
vyrábať,600.327977278218,660.69552381795,-0.466155308619401,-0.299261271053649,34.6146678420488,62.8397618513322,0.106342655723762,0.194295065025769,50,25,3,2,44,21,44,21,0,0,1,1,50,24,3,3,44,15,44,21,0,0,1,0.714285714285714,44,21,60.3675465397326,0.166894037565752,sk,create,produce,vytvárať,vyrábať,vytváraťvyrábať,rukojemník
vysielač,588.643400031879,683.553999993083,-0.544660130353614,-0.161214116990851,26.8423850286089,51.0693819018312,0.0708117397912502,0.155777895683271,35,23,8,7,30,21,31,21,1,0,0.967741935483871,1,37,26,6,4,28,19,31,21,1,0,0.903225806451613,0.904761904761905,30,21,94.9105999612034,0.383446013362763,sk,sensor,transmitter,snímač,vysielač,snímačvysielač,firma
vysoký,608.558270263027,524.671449993915,-0.471667112959563,-0.748535476881296,42.8973717242302,12.418543566034,0.159947501785525,0.0622522330557375,41,24,5,7,37,20,37,20,0,0,1,1,40,25,6,6,35,19,37,20,0,0,0.945945945945946,0.95,37,20,-83.8868202691125,-0.276868363921733,sk,low,high,nízky,vysoký,nízkyvysoký,profil
vystrašiť,600.846370376829,677.457999986937,-0.382313803974785,-0.319913392505997,45.7758587141001,48.5805324800761,0.187790251786126,0.131426872274309,29,30,5,6,27,25,27,26,0,1,1,0.961538461538462,29,31,5,5,27,23,27,27,0,0,1,0.851851851851852,27,25,76.6116296101073,0.0624004114687886,sk,scare,frighten,vydesiť,vystrašiť,vydesiťvystrašiť,invázia
