target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,el_cue,el_target,el_word_combo
αληθινός,676.679816316539,583.534076913854,-0.190963133131999,-0.495200742939159,29.8253703348403,23.1123992892398,0.127828756332758,0.0879644598370389,54,53,0,2,49,52,49,52,0,0,1,1,54,53,0,2,38,51,49,52,0,0,0.775510204081633,0.980769230769231,49,52,-93.1457394026851,-0.30423760980716,el,true,real,αληθής,αληθινός,αληθήςαληθινός
αλιεία,845.774888819448,836.93308331589,0.605790596481052,0.467670055793598,42.28664651704,38.3460461726729,0.167230581358154,0.137529622908805,52,54,0,0,36,36,48,53,0,0,0.75,0.679245283018868,52,54,0,0,45,51,48,53,0,0,0.9375,0.962264150943396,36,36,-8.84180550355836,-0.138120540687454,el,hunting,fishing,κυνήγι,αλιεία,κυνήγιαλιεία
αμερική,613.122607839967,692.606914905184,-0.401165854412229,-0.186685742969486,31.829271370798,59.652662125949,0.117334860304699,0.166710626802551,54,51,1,0,51,47,52,49,0,0,0.980769230769231,0.959183673469388,54,50,1,1,46,48,52,48,0,1,0.884615384615385,1,51,47,79.4843070652165,0.214480111442743,el,africa,america,αφρική,αμερική,αφρικήαμερική
ανάλυση,547.283099977037,622.731603775897,-0.635039309299314,-0.327112937591932,16.6707707082245,38.1574533342276,0.0679545674137997,0.137432928063448,53,54,0,0,50,53,50,53,0,0,1,1,52,54,1,0,46,52,50,53,0,0,0.92,0.981132075471698,50,53,75.44850379886,0.307926371707381,el,autopsy,analysis,αυτοψία,ανάλυση,αυτοψίαανάλυση
ανάπτυξη,565.206959176518,585.335173927909,-0.564221333128244,-0.520449672671108,23.220333512563,20.786515247394,0.0827436462602403,0.0735003924233026,51,50,1,1,49,46,49,46,0,1,1,1,51,50,1,1,49,46,49,46,0,1,1,1,49,46,20.1282147513909,0.0437716604571363,el,progress,development,πρόοδος,ανάπτυξη,πρόοδοςανάπτυξη
ανίκανος,662.120938794641,621.699250017737,-0.2569823932768,-0.227983578102101,38.8969246700327,21.190178628116,0.125230112833635,0.117617114612541,52,55,0,1,49,48,50,50,0,1,0.98,0.96,52,54,0,2,49,49,50,49,0,2,0.98,1,49,48,-40.4216887769036,0.0289988151746986,el,inability,unable,αδυναμία,ανίκανος,αδυναμίαανίκανος
ανίσχυρος,725.674999997021,757.712040803836,-0.0769674258890297,0.0504259212186533,52.2210127042494,51.3061568080565,0.146586016874192,0.144016617940326,50,55,0,0,46,49,47,51,0,0,0.978723404255319,0.96078431372549,50,55,0,0,42,51,47,51,0,0,0.893617021276596,1,46,49,32.0370408068154,0.127393347107683,el,helpless,powerless,ανήμπορος,ανίσχυρος,ανήμποροςανίσχυρος
αναμένω,626.476439987891,703.712555557781,-0.31918807925677,-0.110650918423029,26.1603508171422,59.3343685023127,0.114809647790487,0.17492884693872,52,52,0,0,50,45,50,47,0,0,1,0.957446808510638,52,52,0,0,49,44,50,47,0,0,0.98,0.936170212765957,50,45,77.2361155698901,0.208537160833742,el,wait,expect,περίμενε,αναμένω,περίμενεαναμένω
ανατολή,544.007187525666,557.688612244306,-0.578240029257176,-0.573878599618682,14.4747917972787,17.0235120738817,0.058102769444018,0.0674254180749212,50,51,0,0,48,49,48,50,0,0,1,0.98,50,51,0,0,47,49,48,50,0,0,0.979166666666667,0.98,48,49,13.6814247186401,0.00436142963849429,el,west,east,δυτικά,ανατολή,δυτικάανατολή
ανατριχιαστικός,773.023729153878,931.072479961978,0.184064508835641,0.734802935719121,38.699060550014,51.7278952605701,0.118597904251515,0.17480286509917,51,53,0,0,48,50,48,52,0,0,1,0.961538461538462,51,53,0,0,48,48,48,52,0,0,1,0.923076923076923,48,50,158.0487508081,0.55073842688348,el,scary,creepy,τρομακτικός,ανατριχιαστικός,τρομακτικόςανατριχιαστικός
αναχώρηση,621.683420004666,677.424063830446,-0.456075947429663,-0.282727800864046,27.6234209370182,23.0643777540534,0.0853985573724274,0.0534829746485422,54,52,0,1,50,47,50,48,0,0,1,0.979166666666667,54,52,0,1,48,45,50,48,0,0,0.96,0.9375,50,47,55.7406438257806,0.173348146565616,el,arrival,departure,άφιξη,αναχώρηση,άφιξηαναχώρηση
ανεμοστρόβιλος,818.013419987229,883.910113642431,0.481680737337617,0.63172725815476,34.930068088946,60.8587594131133,0.143849959703271,0.186892168052681,51,53,0,1,50,44,51,48,0,0,0.980392156862745,0.916666666666667,51,53,0,1,49,46,51,48,0,0,0.96078431372549,0.958333333333333,50,44,65.8966936552013,0.150046520817143,el,hurricane,tornado,τυφώνας,ανεμοστρόβιλος,τυφώναςανεμοστρόβιλος
ανεύθυνος,684.478261909631,718.736862736208,-0.103317273422919,0.0144641593459471,49.842095059375,30.8927641476025,0.151613733694667,0.122631469142132,50,53,0,1,43,51,43,52,0,0,1,0.980769230769231,50,54,0,0,41,48,43,52,0,0,0.953488372093023,0.923076923076923,42,51,34.2586008265769,0.117781432768866,el,unreasonable,irresponsible,παράλογος,ανεύθυνος,παράλογοςανεύθυνος
ανησυχία,677.601919988666,639.989749989042,-0.323021449431156,-0.349034494092092,47.8414031857314,31.8854195537411,0.101410082846446,0.0905887445195682,52,56,1,0,50,52,51,53,0,0,0.980392156862745,0.981132075471698,52,55,1,1,49,50,51,52,0,1,0.96078431372549,0.961538461538462,50,52,-37.6121699996238,-0.0260130446609361,el,concern,worry,έγνοια,ανησυχία,έγνοιαανησυχία
ανιψιός,664.208979163267,703.176809509844,-0.254013310195826,0.00569559495236508,59.8111040924335,32.9831833248779,0.159968698780525,0.128093375029278,51,52,1,0,48,42,48,46,0,0,1,0.91304347826087,51,52,1,0,43,46,48,46,0,0,0.895833333333333,1,48,42,38.9678303465777,0.259708905148191,el,grandson,nephew,εγγονός,ανιψιός,εγγονόςανιψιός
αντίγραφο,608.668153848738,617.531061248898,-0.522652875878068,-0.526384328951933,21.7844350316852,28.875611534549,0.065625998207304,0.0649182263819333,52,52,0,0,52,49,52,49,0,0,1,1,52,52,0,0,52,47,52,49,0,0,1,0.959183673469388,52,49,8.86290740015977,-0.00373145307386435,el,original,copy,πρωτότυπο,αντίγραφο,πρωτότυποαντίγραφο
αντίθετος,558.774750017982,553.008040004702,-0.520804128422726,-0.591553857885027,16.2605815933316,17.6471974136608,0.0634057850710939,0.0423658651979696,52,52,0,0,48,50,49,51,0,0,0.979591836734694,0.980392156862745,52,52,0,0,46,51,49,51,0,0,0.938775510204082,1,48,50,-5.76671001328009,-0.0707497294623014,el,opposite,contrary,απέναντι από,αντίθετος,απέναντι απόαντίθετος
αντίο,612.301901975088,592.031122450872,-0.41827885899038,-0.555797342112463,22.9484075431339,23.0748111063837,0.0806314078263657,0.0654782443378195,54,52,1,0,51,49,51,49,1,0,1,1,55,52,0,0,51,45,52,49,0,0,0.980769230769231,0.918367346938776,51,49,-20.2707795242152,-0.137518483122083,el,hello,bye,χαίρετε,αντίο,χαίρετεαντίο
αντίπαλος,657.525754709502,653.66780849931,-0.267579453554004,-0.348279780695919,37.4346968859006,35.0752196390835,0.112596257388285,0.106304090928542,54,50,2,0,53,47,53,48,0,0,1,0.979166666666667,54,50,2,0,53,42,53,48,0,0,1,0.875,53,47,-3.85794621019124,-0.0807003271419157,el,enemy,opponent,εχθρός,αντίπαλος,εχθρόςαντίπαλος
αντίχειρας,703.205187500823,667.350191508335,-0.156168505258905,-0.138876856035525,34.4584855579626,28.3110995282737,0.103715453213181,0.0986319432820639,51,51,0,0,48,47,48,47,0,0,1,1,51,51,0,0,48,46,48,47,0,0,1,0.978723404255319,48,47,-35.8549959924882,0.0172916492233807,el,finger,thumb,δάχτυλο,αντίχειρας,δάχτυλοαντίχειρας
ανταμοιβή,795.876425544407,641.824919997713,0.319533645376078,-0.268807297396014,51.0163373644679,22.6658032285372,0.176465277069996,0.0957169147287844,50,54,1,0,47,50,48,50,1,0,0.979166666666667,1,49,54,2,0,21,45,48,50,1,0,0.4375,0.9,47,50,-154.051505546694,-0.588340942772092,el,bonus,reward,επιχορήγημα,ανταμοιβή,επιχορήγημαανταμοιβή
αντιδραστήρας,818.503645818498,808.679581404019,0.427457621848393,0.389129829799754,45.479970189542,52.4971036071939,0.176680251345094,0.180663095776552,53,52,0,1,48,43,51,48,0,0,0.941176470588235,0.895833333333333,53,53,0,0,48,45,51,48,0,0,0.941176470588235,0.9375,48,43,-9.82406441447824,-0.0383277920486388,el,generator,reactor,γεννήτρια,αντιδραστήρας,γεννήτριααντιδραστήρας
αντιστέκομαι,754.767083255049,760.298041624135,0.0903705090182767,0.132756770926128,41.6185022986755,27.1943100777753,0.130777195599538,0.0850832177963508,50,51,1,0,48,48,48,50,1,0,1,0.96,50,50,1,1,48,48,48,49,1,1,1,0.979591836734694,48,48,5.5309583690854,0.042386261907851,el,resistance,resist,αντίσταση,αντιστέκομαι,αντίστασηαντιστέκομαι
ανώτατος,583.0863673377,638.353450988697,-0.561793070729446,-0.303479929504631,21.7178296457554,25.0980751649922,0.0579589583847133,0.0752525756105954,52,53,2,0,49,51,50,51,1,0,0.98,1,52,53,2,0,47,50,50,51,1,0,0.94,0.980392156862745,49,51,55.2670836509972,0.258313141224815,el,minimum,maximum,ελάχιστο,ανώτατος,ελάχιστοανώτατος
ανώτερος,559.654481483203,600.471411760407,-0.650339530384977,-0.490924627354421,20.3591410006232,18.4191106152696,0.0604849442379725,0.0607008729491283,56,55,0,0,54,51,54,51,0,0,1,1,56,55,0,0,53,50,54,51,0,0,0.981481481481482,0.980392156862745,54,51,40.8169302772038,0.159414903030556,el,lower,upper,χαμηλότερος,ανώτερος,χαμηλότεροςανώτερος
αξιολύπητο,715.026038456285,855.33837998141,0.0762982681519444,0.414362029086655,46.4144825021128,58.7346138683294,0.175067425640716,0.156173982011424,52,56,0,0,52,50,52,51,0,0,1,0.980392156862745,51,55,1,1,51,51,51,51,1,0,1,1,52,50,140.312341525125,0.338063760934711,el,miserable,pathetic,άθλιος,αξιολύπητο,άθλιοςαξιολύπητο
αξιοπρέπεια,639.179395834931,693.052755100056,-0.268824077076064,-0.0857088378945947,24.1826154259797,41.9259202788467,0.0812588394475983,0.116320464136394,50,51,0,0,48,49,48,49,0,0,1,1,50,51,0,0,46,45,48,49,0,0,0.958333333333333,0.918367346938776,48,49,53.8733592651255,0.18311523918147,el,pride,dignity,υπερηφάνεια,αξιοπρέπεια,υπερηφάνειααξιοπρέπεια
αξιοσημείωτος,765.483979588011,781.744134633952,0.0957105985430793,0.277677527933757,42.4065178473612,31.5389614486186,0.116027367107917,0.10931610373364,52,54,1,1,49,52,50,53,0,0,0.98,0.981132075471698,53,54,0,1,49,44,50,53,0,0,0.98,0.830188679245283,49,52,16.2601550459408,0.181966929390677,el,exceptional,remarkable,εξαιρετικός,αξιοσημείωτος,εξαιρετικόςαξιοσημείωτος
απάτη,609.37433331784,645.722799985845,-0.459570865693987,-0.333882967442755,21.0857830846301,36.9142134398836,0.0695233783409496,0.102873735086707,55,52,0,0,48,45,50,46,0,0,0.96,0.978260869565217,55,52,0,0,46,45,50,46,0,0,0.92,0.978260869565217,48,45,36.3484666680051,0.125687898251231,el,conspiracy,fraud,συνωμοσία,απάτη,συνωμοσίααπάτη
απαγάγω,706.80245998896,781.796652162419,0.0126270940158251,0.214638180908853,51.5615391566108,39.5228374318681,0.149829542050792,0.121777444653208,51,53,0,2,50,46,50,47,0,2,1,0.978723404255319,51,54,0,1,49,45,50,48,0,1,0.98,0.9375,50,46,74.9941921734594,0.202011086893028,el,kidnap,abduct,απαγωγή,απαγάγω,απαγωγήαπαγάγω
απαγορεύω,688.593387759469,677.667755097116,-0.121063395831461,-0.133849528216725,52.1163148874115,53.715855857315,0.151327934162228,0.167107564612707,51,52,0,0,49,49,50,51,0,0,0.98,0.96078431372549,51,52,0,0,48,51,50,51,0,0,0.96,1,49,49,-10.925632662353,-0.0127861323852642,el,forbidden,prohibit,απαγορευμένος,απαγορεύω,απαγορευμένοςαπαγορεύω
απαντώ,645.168571433045,623.29146807227,-0.358017147969056,-0.281090935352256,32.7012346621922,25.7510838964338,0.105373146608118,0.0925496691307112,52,51,1,0,49,47,50,50,0,0,0.98,0.94,53,51,0,0,50,49,50,50,0,0,1,0.98,49,47,-21.8771033607743,0.0769262126168003,el,answer,reply,απάντηση,απαντώ,απάντησηαπαντώ
απεργία,666.618921579802,604.769895882604,-0.187094073640249,-0.37418595556181,31.2751990927986,25.0393716155287,0.0997600922130698,0.102772088808198,54,50,0,0,51,48,54,48,0,0,0.944444444444444,1,54,50,0,0,31,46,54,48,0,0,0.574074074074074,0.958333333333333,51,48,-61.8490256971984,-0.18709188192156,el,hit,strike,κτύπημα,απεργία,κτύπημααπεργία
απλός,524.334239137831,563.606717385964,-0.662974059229408,-0.507577456765048,26.8202010884198,27.1152635471508,0.103266256580742,0.111115162429004,53,50,0,0,46,46,47,47,0,0,0.978723404255319,0.978723404255319,52,50,1,0,45,46,46,47,1,0,0.978260869565217,0.978723404255319,46,46,39.2724782481333,0.15539660246436,el,simply,simple,απλά,απλός,απλάαπλός
απογοήτευση,666.424042559597,621.572220039037,-0.17444615415213,-0.297596383225448,36.1668876667274,24.6551477066337,0.110874869610392,0.0914099858886804,52,52,0,3,47,50,48,51,0,1,0.979166666666667,0.980392156862745,52,52,0,3,48,50,48,51,0,1,1,0.980392156862745,47,50,-44.8518225205602,-0.123150229073318,el,surprise,disappointment,έκπληξη,απογοήτευση,έκπληξηαπογοήτευση
αποδέχομαι,639.86688232874,634.649545464941,-0.387593078366611,-0.28049079126672,29.103002121498,16.960364667784,0.0910046247889522,0.0621445234196468,52,56,1,1,51,55,52,55,1,0,0.980769230769231,1,52,56,1,1,48,55,52,55,1,0,0.923076923076923,1,51,55,-5.21733686379935,0.107102287099891,el,refuse,accept,αρνηθεί,αποδέχομαι,αρνηθείαποδέχομαι
αποθηκεύσετε,1142.35634782304,838.722826074778,1.6169162265433,0.554337044009921,69.3545776418088,57.770207546689,0.252510160277466,0.214636274040055,51,53,0,2,46,46,51,50,0,2,0.901960784313726,0.92,50,55,1,0,47,49,50,52,1,0,0.94,0.942307692307692,46,46,-303.633521748258,-1.06257918253338,el,rescue,save,διάσωση,αποθηκεύσετε,διάσωσηαποθηκεύσετε
αποστολή,572.421962974579,604.84763272673,-0.580267328162671,-0.449560283634728,19.8292909811697,31.4923202750347,0.0545142005573456,0.113690416511367,58,51,2,0,54,49,55,50,0,0,0.981818181818182,0.98,58,51,2,0,54,50,55,50,0,0,0.981818181818182,1,54,49,32.4256697521508,0.130707044527943,el,task,mission,έργο,αποστολή,έργοαποστολή
αποτέλεσμα,681.02675509888,653.312420002043,-0.110440495617363,-0.2666497831229,38.7980022416769,53.1630656285557,0.150861781256951,0.163528282582377,50,51,0,1,49,50,50,50,0,0,0.98,1,49,51,1,1,40,49,49,50,1,0,0.816326530612245,0.98,49,50,-27.7143350968363,-0.156209287505537,el,result,outcome,εξαγόμενο,αποτέλεσμα,εξαγόμενοαποτέλεσμα
αποτελεσματικός,681.195938768259,759.935978719575,0.00808405748804647,0.119615220216188,28.9684711139425,41.5919779398608,0.0951119966481386,0.122626405491502,52,51,0,0,49,47,51,48,0,0,0.96078431372549,0.979166666666667,52,51,0,0,50,43,51,48,0,0,0.980392156862745,0.895833333333333,49,47,78.7400399513157,0.111531162728142,el,useful,effective,χρήσιμος,αποτελεσματικός,χρήσιμοςαποτελεσματικός
αποτυχία,592.728999971285,726.936142833643,-0.524686201137316,-0.0168503512240718,31.6564111533893,36.148134251136,0.0788395840163846,0.120963310171922,52,50,1,2,50,49,51,49,1,0,0.980392156862745,1,52,51,1,1,51,43,51,49,1,0,1,0.877551020408163,50,49,134.207142862358,0.507835849913245,el,success,failure,επιτυχία,αποτυχία,επιτυχίααποτυχία
απουσία,619.030130449975,683.397539978448,-0.494007541621193,-0.144765174277182,33.8313689651672,39.1130883398293,0.0911585400399788,0.135823702591677,50,54,1,0,46,50,48,50,0,0,0.958333333333333,1,50,52,1,2,47,35,48,48,0,2,0.979166666666667,0.729166666666667,46,50,64.3674095284725,0.349242367344011,el,presence,absence,παρουσία,απουσία,παρουσίααπουσία
αποφοιτώ,799.251124995538,725.531620690706,0.166715722231041,-0.00674243923250232,46.0360145050365,35.1241142412962,0.102791672821468,0.106740760583003,53,60,0,0,48,58,50,58,0,0,0.96,1,53,60,0,0,48,58,50,58,0,0,0.96,1,48,58,-73.719504304832,-0.173458161463543,el,diploma,graduate,δίπλωμα,αποφοιτώ,δίπλωμααποφοιτώ
