target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,es_cue,es_target,es_word_combo
desagradable,620.239190006021,668.746830358573,-0.225670046714513,-0.122040808393999,21.6954245945764,27.2160937188124,0.073296343447825,0.0775136730176924,107,120,1,1,100,112,101,112,0,0,0.99009900990099,1,106,120,2,1,99,109,100,112,1,0,0.99,0.973214285714286,100,112,48.507640352552,0.103629238320514,es,uncomfortable,unpleasant,incómodo,desagradable,incómododesagradable
desaparición,749.84441407462,697.73592309861,0.166471976310215,0.320418902414721,28.9475584989556,33.3820184857002,0.10090048267725,0.112923567592003,131,96,5,1,128,91,129,93,1,0,0.992248062015504,0.978494623655914,131,96,5,1,128,88,129,93,1,0,0.992248062015504,0.946236559139785,128,91,-52.1084909760095,0.153946926104506,es,death,disappearance,muerte,desaparición,muertedesaparición
desarrollo,542.153175805026,565.563881363555,-0.450969207736465,-0.430871109515945,16.2609283762059,15.9913330034179,0.0591803424423017,0.0578262319979837,94,122,4,1,91,118,92,119,0,0,0.989130434782609,0.991596638655462,94,122,4,1,91,117,92,119,0,0,0.989130434782609,0.983193277310924,91,118,23.410705558529,0.0200980982205201,es,progress,development,progreso,desarrollo,progresodesarrollo
desayuno,511.823673481225,609.208756749259,-0.661686163200498,-0.46594310057413,10.7177906580539,28.9389121725409,0.0413165550420285,0.0790012382167007,107,75,4,2,98,74,100,74,2,0,0.98,1,108,75,3,2,98,73,102,74,0,0,0.96078431372549,0.986486486486487,98,74,97.3850832680334,0.195743062626368,es,dinner,breakfast,cena,desayuno,cenadesayuno
desconocido,562.935427263724,608.548293350516,-0.415292316252563,-0.342091673543795,21.1859640889861,21.4522171847755,0.0681660926331943,0.0694902970387476,115,82,0,1,110,75,111,76,0,0,0.990990990990991,0.986842105263158,115,82,0,1,110,75,111,76,0,0,0.990990990990991,0.986842105263158,110,75,45.6128660867927,0.0732006427087679,es,anonymous,unknown,anónimo,desconocido,anónimodesconocido
descripción,596.441585508398,634.204564120579,-0.337391196695607,-0.267741132512973,14.5996767546292,25.2515929649515,0.0478168346470816,0.0977898535720989,166,80,5,3,152,78,155,78,1,2,0.980645161290323,1,166,81,5,2,151,76,155,79,1,1,0.974193548387097,0.962025316455696,152,78,37.762978612181,0.0696500641826341,es,profile,description,perfil,descripción,perfildescripción
desgracia,568.924456892539,619.669691202761,-0.445833198108351,-0.29652348149863,23.5405316562376,21.8926704298829,0.0750146772944077,0.0837086855885585,125,72,3,2,116,68,119,69,1,1,0.974789915966387,0.985507246376812,126,73,2,1,116,70,119,70,1,0,0.974789915966387,1,116,68,50.7452343102217,0.149309716609722,es,unfortunate,misfortune,desafortunado,desgracia,desafortunadodesgracia
desnudo,548.482337483278,555.206773180572,-0.481361106609046,-0.475764053227476,20.0016819602313,16.728717962972,0.0688734055556581,0.0643985860863061,82,104,2,1,80,97,81,97,0,0,0.987654320987654,1,82,104,2,1,60,92,81,97,0,0,0.740740740740741,0.948453608247423,80,97,6.72443569729387,0.0055970533815699,es,nude,naked,nudismo,desnudo,nudismodesnudo
despido,619.650378043339,655.586264709962,-0.217811239359171,0.0938072449588923,28.2339821299776,26.5014036832419,0.0765424224348923,0.115502098783536,85,72,1,0,82,68,85,72,0,0,0.964705882352941,0.944444444444444,86,72,0,0,81,70,85,72,0,0,0.952941176470588,0.972222222222222,82,68,35.9358866666225,0.311618484318063,es,resignation,dismissal,renuncia,despido,renunciadespido
destino,535.4928396318,556.454198255519,-0.517229315508183,-0.511945324275286,15.4342969706825,12.8312750745076,0.0718041065365569,0.0458166790956137,110,123,1,1,106,116,107,120,0,0,0.990654205607477,0.966666666666667,110,124,1,0,96,118,107,120,0,0,0.897196261682243,0.983333333333333,106,116,20.9613586237189,0.0052839912328968,es,fate,destiny,fatalidad,destino,fatalidaddestino
destrucción,618.275826664696,609.935000024845,-0.0892204385374806,-0.194487388040486,26.6201084623382,33.3129027324245,0.093081453693232,0.118109988477783,81,94,2,0,75,86,78,89,1,0,0.961538461538462,0.966292134831461,81,92,2,2,77,83,78,87,1,2,0.987179487179487,0.954022988505747,75,85,-8.34082663985112,-0.105266949503005,es,creation,destruction,creación,destrucción,creacióndestrucción
detective,583.28118573857,552.173833307409,-0.395886842914551,-0.540837705151254,21.7109104163958,15.2140246480348,0.0711144453057591,0.0449101588391299,76,123,0,1,70,114,71,116,0,0,0.985915492957746,0.982758620689655,76,123,0,1,69,113,71,116,0,0,0.971830985915493,0.974137931034483,70,114,-31.1073524311613,-0.144950862236703,es,agent,detective,agente,detective,agentedetective
detener,549.362255324542,584.503078745796,-0.512750647811509,-0.311126197181688,18.9781142973888,18.6967250629674,0.0620930715642075,0.0650090231949486,148,131,3,1,141,127,141,128,0,0,1,0.9921875,147,131,4,1,137,111,140,128,1,0,0.978571428571429,0.8671875,141,127,35.140823421254,0.201624450629821,es,prevent,stop,evitar,detener,evitardetener
determinación,639.956625013512,666.594298093863,-0.0750875860620812,-0.111756104002761,22.1552548488283,23.7538399775149,0.0893389498490735,0.061604869262457,72,113,0,4,72,105,72,105,0,0,1,1,72,113,0,4,62,103,72,105,0,0,0.861111111111111,0.980952380952381,72,104,26.6376730803503,-0.0366685179406794,es,courage,determination,coraje,determinación,corajedeterminación
devoción,668.294886958375,679.878125005456,-0.0574445327832835,-0.0581686111770956,29.8563613491969,27.8452025868926,0.0867177700577884,0.0904811294838953,124,88,5,3,115,80,116,82,2,0,0.991379310344828,0.975609756097561,124,88,5,3,112,82,116,82,2,0,0.96551724137931,1,115,80,11.583238047081,-0.000724078393812173,es,fidelity,devotion,fidelidad,devoción,fidelidaddevoción
dibujar,552.01870101175,561.44478151835,-0.555525853725744,-0.475006386082616,15.9061271155895,17.2209167649166,0.0582138834482304,0.059887549550723,107,131,0,4,97,119,97,121,0,0,1,0.983471074380165,106,131,1,4,90,119,96,121,1,0,0.9375,0.983471074380165,97,119,9.42608050659999,0.0805194676431282,es,paint,draw,pintar,dibujar,pintardibujar
diciembre,523.155279214175,564.692593029401,-0.593405021165566,-0.483944227503557,13.998532937757,24.7993996325921,0.0452814128194026,0.0682170946965508,160,95,1,0,154,86,156,87,1,0,0.987179487179487,0.988505747126437,160,95,1,0,152,85,156,87,1,0,0.974358974358974,0.977011494252874,154,86,41.5373138152266,0.10946079366201,es,november,december,noviembre,diciembre,noviembrediciembre
diente,567.52595050342,630.526266026075,-0.355012331655364,-0.0616582308174926,18.7281060808782,21.2124363423359,0.0829488528495376,0.090769052114648,106,118,0,1,101,109,102,113,0,0,0.990196078431373,0.964601769911504,106,118,0,1,96,102,102,113,0,0,0.941176470588235,0.902654867256637,101,109,63.0003155226551,0.293354100837871,es,nail,tooth,uña,diente,uñadiente
diferente,530.608618633804,531.270438862877,-0.583261147357628,-0.557064958951344,14.3188976613444,14.0332246773814,0.0501390457570751,0.0569505739399708,126,142,1,4,118,139,118,139,0,1,1,1,126,142,1,4,115,133,118,139,0,1,0.974576271186441,0.956834532374101,118,139,0.661820229072191,0.0261961884062841,es,similar,different,similar,diferente,similardiferente
dignidad,546.758536089055,630.700411758955,-0.434692168912423,-0.273015069138854,15.9920971179618,23.4258745957865,0.0710284157416393,0.0665998580238765,103,126,0,0,97,119,98,121,0,0,0.989795918367347,0.983471074380165,103,126,0,0,95,119,98,121,0,0,0.969387755102041,0.983471074380165,97,119,83.9418756698998,0.161677099773569,es,pride,dignity,orgullo,dignidad,orgullodignidad
dinamita,629.583381993305,626.210146351856,-0.203497994973268,-0.170999753620775,23.8460618601364,22.0151673882984,0.088699969366501,0.0825411391817368,98,87,3,3,89,82,91,85,0,3,0.978021978021978,0.964705882352941,98,88,3,2,89,84,91,86,0,2,0.978021978021978,0.976744186046512,89,82,-3.37323564144856,0.0324982413524924,es,gunpowder,dynamite,pólvora,dinamita,pólvoradinamita
dinero,564.155420617079,560.917579419693,-0.52186823020238,-0.487697723000288,23.2852861994795,21.2068117275999,0.0797929783675629,0.0854347379192402,130,112,2,1,126,107,126,107,1,0,1,1,130,113,2,0,126,99,126,107,1,0,1,0.925233644859813,126,107,-3.23784119738627,0.0341705072020913,es,cash,money,efectivo,dinero,efectivodinero
dirección,561.514348822793,602.997901228423,-0.460088209201905,-0.382549722112828,20.458208025554,23.8772148194977,0.0705756318477719,0.0843194395007934,93,85,0,1,87,81,87,81,0,0,1,1,93,85,0,1,87,78,87,81,0,0,1,0.962962962962963,86,81,41.4835524056294,0.0775384870890776,es,number,address,número,dirección,númerodirección
directamente,621.005483515077,687.536399999463,-0.356186024722994,0.0673795543979032,24.2954521927595,30.8731773883659,0.0687168417264405,0.121238047339052,97,86,1,6,91,85,92,85,0,1,0.989130434782609,1,97,86,1,6,88,83,91,85,1,1,0.967032967032967,0.976470588235294,91,85,66.5309164843862,0.423565579120897,es,direct,directly,directo,directamente,directodirectamente
director,538.581200034535,543.520564098604,-0.649884017941182,-0.579724388641119,21.5277833154352,18.2640022442494,0.0566205454346077,0.0604902002034989,75,83,3,3,70,78,70,78,0,0,1,1,75,83,3,3,69,78,70,78,0,0,0.985714285714286,1,70,78,4.93936406406863,0.0701596293000633,es,producer,director,productor,director,productordirector
discusión,621.450781018117,519.879817300024,-0.230663796942557,-0.549336549817158,23.6188275146746,16.4217489168177,0.0710824422437661,0.0744147364453211,146,109,2,2,137,104,139,106,2,1,0.985611510791367,0.981132075471698,145,109,3,2,134,97,138,106,3,1,0.971014492753623,0.915094339622642,137,104,-101.570963718093,-0.3186727528746,es,conversation,discussion,conversacion,discusión,conversaciondiscusión
disparar,618.721326929617,528.44692942125,-0.248155379829856,-0.540685800847868,25.6347238206069,17.8673023156822,0.0875031331600464,0.0687556646546673,110,91,2,1,105,85,105,85,0,0,1,1,110,91,2,1,100,84,105,85,0,0,0.952380952380952,0.988235294117647,104,85,-90.2743975083669,-0.292530421018012,es,shot,shoot,disparo,disparar,disparodisparar
dispositivo,622.026444455254,587.344675005164,-0.197784129731216,-0.332488618211884,24.7667852888045,16.1736532358138,0.0845639688795161,0.0619355303606877,108,83,0,0,99,80,101,80,0,0,0.98019801980198,1,108,83,0,0,81,79,101,80,0,0,0.801980198019802,0.9875,99,80,-34.6817694500902,-0.134704488480667,es,chip,device,chip,dispositivo,chipdispositivo
disputa,629.145472253854,638.203026317254,-0.31607721905646,-0.00560299556076194,28.3614821140004,25.2615688009797,0.0929061157749955,0.104949994723547,79,86,0,2,72,76,75,82,0,0,0.96,0.926829268292683,79,86,0,2,74,69,75,82,0,0,0.986666666666667,0.841463414634146,72,76,9.05755406340063,0.310474223495698,es,conflict,dispute,conflicto,disputa,conflictodisputa
distrito,569.734726550081,614.769008843867,-0.352097535888947,-0.137606898562307,13.2332297583819,19.3050923652692,0.0533922064994837,0.0819268914958955,137,121,1,0,128,113,131,120,1,0,0.977099236641221,0.941666666666667,138,121,0,0,115,119,132,120,0,0,0.871212121212121,0.991666666666667,128,113,45.0342822937859,0.21449063732664,es,county,district,condado,distrito,condadodistrito
divino,536.820268909011,562.415196264022,-0.607340563765646,-0.409359718060043,11.4238184612195,19.9965087733525,0.0399671009138826,0.0684164497700027,125,117,3,3,119,107,120,111,2,1,0.991666666666667,0.963963963963964,126,118,2,2,118,110,121,112,1,0,0.975206611570248,0.982142857142857,119,107,25.5949273550112,0.197980845705603,es,god,divine,dios,divino,diosdivino
división,551.636352376092,573.524163725923,-0.516546871594257,-0.412049836143893,16.1691429425631,12.2452949177318,0.0545161191273937,0.0440857735872368,114,179,2,1,105,171,108,172,0,1,0.972222222222222,0.994186046511628,114,179,2,1,101,170,108,172,0,1,0.935185185185185,0.988372093023256,105,171,21.8878113498304,0.104497035450364,es,unit,division,unidad,división,unidaddivisión
documento,582.056904779488,515.570432081769,-0.428721348711314,-0.603904191144936,26.1527801464352,11.4918720549695,0.100949426595505,0.0457717287522824,86,83,2,1,84,81,84,81,1,0,1,1,86,83,2,1,80,70,84,81,1,0,0.952380952380952,0.864197530864197,84,81,-66.4864726977189,-0.175182842433623,es,file,document,expediente,documento,expedientedocumento
dolor,543.993631588649,502.771347110235,-0.487064607998561,-0.698766726982262,20.2044764421489,21.205963923431,0.079436051606528,0.0726926151169936,101,125,4,2,95,121,95,122,1,1,1,0.991803278688525,100,125,5,2,92,109,95,122,1,1,0.968421052631579,0.89344262295082,95,121,-41.2222844784141,-0.211702118983701,es,suffering,pain,sufrimiento,dolor,sufrimientodolor
domingo,523.68894915374,567.399177786099,-0.684841006883446,-0.437754984563416,14.857563611167,21.4086466488667,0.0527364358135897,0.0795272207486226,125,93,1,0,118,90,120,91,0,0,0.983333333333333,0.989010989010989,125,93,1,0,118,89,120,91,0,0,0.983333333333333,0.978021978021978,118,90,43.7102286323586,0.24708602232003,es,saturday,sunday,sábado,domingo,sábadodomingo
donación,591.803987959205,618.665782608044,-0.421142756086881,-0.141175962059861,19.3653765123141,23.2894672676698,0.0601544572669265,0.088831408083722,88,123,1,1,83,115,84,118,1,0,0.988095238095238,0.974576271186441,87,123,2,1,81,118,83,118,2,0,0.975903614457831,1,83,115,26.8617946488389,0.27996679402702,es,charity,donation,caridad,donación,caridaddonación
dormir,492.909970573862,514.478548425421,-0.717496521915954,-0.651457632464857,15.1149798972528,11.9507829731891,0.0601152936021052,0.0445843042641453,104,105,2,2,102,93,102,95,0,1,1,0.978947368421053,103,104,3,3,99,85,101,94,1,2,0.98019801980198,0.904255319148936,102,93,21.5685778515592,0.0660388894510976,es,rest,sleep,descansar,dormir,descansardormir
dormitorio,577.564199990314,557.938387934749,-0.407633968531176,-0.446828440742767,24.6222983686281,18.397570263996,0.075279458296249,0.0532648106463495,82,127,2,1,80,117,80,121,0,0,1,0.966942148760331,82,127,2,1,79,113,80,121,0,0,0.9875,0.933884297520661,80,116,-19.6258120555648,-0.0391944722115907,es,room,bedroom,habitación,dormitorio,habitacióndormitorio
droga,537.98049999947,561.073612219986,-0.482618224266008,-0.544903348090149,26.9368264993446,17.1437290134948,0.125808906403326,0.0556817427456189,85,105,1,1,84,98,84,99,0,0,1,0.98989898989899,84,104,2,2,81,96,83,98,1,1,0.975903614457831,0.979591836734694,84,98,23.0931122205159,-0.0622851238241411,es,alcohol,drug,alcohol,droga,alcoholdroga
dueño,534.580056601264,529.182570422263,-0.639740320080782,-0.58751578790904,11.9471173621078,18.6713386025549,0.0436176827273858,0.0698647182557701,112,152,1,0,106,142,106,142,0,0,1,1,112,152,1,0,105,137,106,142,0,0,0.990566037735849,0.964788732394366,106,142,-5.39748617900136,0.0522245321717423,es,property,owner,propiedad,dueño,propiedaddueño
dulce,545.101935203969,504.098189182965,-0.605459247021835,-0.719255183419071,15.9423186624616,14.2814214417891,0.0521847609378027,0.0615156119558425,116,115,1,2,108,111,110,111,0,0,0.981818181818182,1,116,115,1,2,88,104,110,111,0,0,0.8,0.936936936936937,108,111,-41.0037460210036,-0.113795936397236,es,soft,gentle,dócil,dulce,dócildulce
duro,535.204614177297,564.098493523729,-0.575156110325157,-0.561638384401671,11.8052074505312,28.1802895735157,0.0441501944680897,0.088643131388734,130,86,0,2,127,77,128,77,0,0,0.9921875,1,130,87,0,1,128,77,128,77,0,0,1,1,127,77,28.8938793464316,0.0135177259234853,es,tough,hard,difícil,duro,difícilduro
débil,506.911913974736,536.981970264962,-0.72129607259926,-0.608794429948052,15.6560447784807,14.2051988848522,0.046147418475047,0.0454486358306537,99,109,3,3,93,101,94,103,1,0,0.98936170212766,0.980582524271845,99,109,3,3,91,97,94,103,1,0,0.968085106382979,0.941747572815534,93,101,30.0700562902269,0.112501642651209,es,strong,weak,fuerte,débil,fuertedébil
década,581.847043475812,640.76983035643,-0.39023490921841,-0.238125537730609,20.8959743407059,26.0420221672566,0.0850866932193284,0.0737029992286784,73,118,5,2,69,112,69,115,1,1,1,0.973913043478261,73,118,5,2,68,105,69,115,1,1,0.985507246376812,0.91304347826087,69,112,58.922786880617,0.152109371487801,es,century,decade,siglo,década,siglodécada
dólar,525.369764034147,503.667340190124,-0.604806447511738,-0.626808103212647,17.5378434123332,10.7908809017943,0.056383152081922,0.042503740884471,92,105,3,4,89,97,89,97,0,1,1,1,92,105,3,4,78,96,89,97,0,1,0.876404494382023,0.989690721649485,89,97,-21.7024238440225,-0.0220016557009083,es,pound,dollar,euro,dólar,eurodólar
edificar,744.632076925867,608.838739574231,0.110459733925171,-0.246785714533535,40.7323660030892,21.3561479441149,0.124821110876801,0.0658703098152186,71,101,1,0,65,96,67,97,0,0,0.970149253731343,0.989690721649485,71,101,1,0,66,97,67,97,0,0,0.985074626865672,1,65,96,-135.793337351636,-0.357245448458706,es,construction,build,construcción,edificar,construcciónedificar
edificio,571.248881569073,593.416024573913,-0.54144003845702,-0.321060283828334,27.8959367079218,18.4131730340838,0.08005813551568,0.0856050174530404,81,127,3,2,76,122,76,124,0,1,1,0.983870967741935,80,127,4,2,74,121,75,124,1,1,0.986666666666667,0.975806451612903,76,122,22.1671430048397,0.220379754628685,es,tower,building,torre,edificio,torreedificio
educación,538.375891669776,569.947064113412,-0.56384592412759,-0.482176287220484,11.5584304143971,19.8077488272197,0.0509880709896616,0.0650341587242016,129,87,1,1,120,78,121,78,1,0,0.991735537190083,1,129,87,1,1,119,78,121,78,1,0,0.983471074380165,1,120,78,31.5711724436369,0.0816696369071058,es,health,education,salud,educación,saludeducación
efecto,548.653917665592,674.367036487256,-0.534921317209492,-0.00846113788166362,16.8650460991859,29.1497427471573,0.0545174372183037,0.0966030070920146,92,143,2,1,85,137,85,141,1,1,1,0.971631205673759,92,142,2,2,81,88,85,140,1,2,0.952941176470588,0.628571428571429,85,137,125.713118821664,0.526460179327829,es,influence,effect,influencia,efecto,influenciaefecto
eficaz,625.857953695268,622.396739124072,-0.261398929669339,-0.250465412382865,17.9025461518694,17.8234069252202,0.0634346368117334,0.0552177740736672,119,104,1,2,108,92,112,99,0,0,0.964285714285714,0.929292929292929,119,104,1,2,109,95,112,99,0,0,0.973214285714286,0.95959595959596,108,92,-3.4612145711958,0.0109335172864733,es,useful,effective,útil,eficaz,útileficaz
egoísta,574.48543527175,563.533468740263,-0.333634548927216,-0.469459239559219,17.7594541568477,23.364690497699,0.0728317863981772,0.0767829964156129,89,66,1,2,85,64,86,64,0,0,0.988372093023256,1,89,66,1,2,73,62,86,64,0,0,0.848837209302326,0.96875,85,64,-10.9519665314866,-0.135824690632004,es,stubborn,selfish,testarudo,egoísta,testarudoegoísta
ejecución,577.235319592131,642.747086426227,-0.437491181196149,-0.169616869773204,22.2712698400126,31.7822859898872,0.0762230982611519,0.112940927210326,105,86,2,3,97,81,99,81,0,1,0.97979797979798,1,105,86,2,3,78,78,99,81,0,1,0.787878787878788,0.962962962962963,97,81,65.5117668340961,0.267874311422945,es,hanging,execution,fusilamiento,ejecución,fusilamientoejecución
ejercicio,555.919797981662,590.248601916018,-0.51231813362818,-0.46307028070253,21.2507934739321,24.3297534664073,0.0740704880236659,0.0655518616408328,100,104,2,0,99,103,99,104,0,0,1,0.990384615384615,100,104,2,0,98,100,99,104,0,0,0.98989898989899,0.961538461538462,99,103,34.3288039343562,0.0492478529256504,es,practice,exercise,práctica,ejercicio,prácticaejercicio
ejército,542.510852622709,518.186737366074,-0.464277544468236,-0.529003642476254,13.908100242619,14.5310424552727,0.0660957569292741,0.0698003803770685,100,106,1,1,95,99,97,102,0,0,0.979381443298969,0.970588235294118,100,106,1,1,84,87,97,102,0,0,0.865979381443299,0.852941176470588,95,99,-24.3241152566353,-0.0647260980080182,es,legion,army,legión,ejército,legiónejército
elección,517.72367597887,556.279454531372,-0.678806003646965,-0.477777093132775,10.8805805124809,15.9185127654944,0.0392323351476961,0.0565455110586457,187,140,2,1,179,132,179,133,1,1,1,0.992481203007519,188,140,1,1,179,130,180,133,0,1,0.994444444444444,0.977443609022556,179,132,38.5557785525019,0.20102891051419,es,campaign,election,campaña,elección,campañaelección
electricidad,577.988408149194,684.112584282373,-0.444572233302954,0.0241342397104065,15.4034318199587,34.7077458967682,0.0692192450738686,0.11407606135356,102,94,1,1,98,89,100,92,0,0,0.98,0.967391304347826,102,94,1,1,97,74,100,92,0,0,0.97,0.804347826086957,98,89,106.124176133179,0.468706473013361,es,current,electricity,corriente,electricidad,corrienteelectricidad
elegante,522.952328553645,605.286333344663,-0.675175245433256,-0.367227712951759,23.4896259373882,24.8541927933946,0.0847762768240056,0.0667128191953201,76,75,1,1,70,72,70,73,1,0,1,0.986301369863014,76,75,1,1,70,69,70,73,1,0,1,0.945205479452055,70,72,82.3340047910182,0.307947532481498,es,fashionable,elegant,moderno,elegante,modernoelegante
elemento,602.346753524404,594.86225252961,-0.457266849379288,-0.346200775315294,28.1759182246042,18.2490646142714,0.0748037215441231,0.0763822256140422,157,106,1,1,142,99,146,100,1,1,0.972602739726027,0.99,157,107,1,0,128,99,146,101,1,0,0.876712328767123,0.98019801980198,142,99,-7.4845009947943,0.111066074063994,es,factor,element,factor,elemento,factorelemento
eléctrico,515.311144051979,594.24442634328,-0.600106872030476,-0.224981216671268,11.8669987954091,17.9545139807807,0.0494067961968135,0.06694732177458,127,134,2,0,118,129,120,132,1,0,0.983333333333333,0.977272727272727,127,133,2,1,117,126,120,131,1,1,0.975,0.961832061068702,118,129,78.933282291301,0.375125655359208,es,magnetic,electric,magnético,eléctrico,magnéticoeléctrico
embarazo,604.183193177805,543.96575949552,-0.346961382505042,-0.453740236071356,36.1736080556179,15.0173283999376,0.125721095178992,0.077550765088469,99,88,1,2,89,79,92,81,1,0,0.967391304347826,0.975308641975309,99,88,1,2,90,76,92,81,1,0,0.978260869565217,0.938271604938272,88,79,-60.217433682285,-0.106778853566315,es,birth,pregnancy,nacimiento,embarazo,nacimientoembarazo
embarcación,651.744669709201,727.351862084731,-0.173701416846868,0.216782711925672,23.4158355296761,26.1495239921563,0.0743300660142161,0.0898147113688419,116,94,4,2,109,87,114,90,0,1,0.956140350877193,0.966666666666667,116,95,4,1,110,88,114,91,0,0,0.964912280701754,0.967032967032967,109,87,75.6071923755301,0.390484128772541,es,crew,ship,tripulación,embarcación,tripulaciónembarcación
emergencia,538.453040300782,607.397974996837,-0.605523690465063,-0.363754669266246,22.1367353925978,25.2336010394722,0.0579781892716852,0.0758344746989992,131,87,5,3,125,80,126,82,1,1,0.992063492063492,0.975609756097561,132,87,4,3,123,81,127,82,0,1,0.968503937007874,0.98780487804878,124,80,68.9449346960545,0.241769021198816,es,urgent,emergency,urgencia,emergencia,urgenciaemergencia
emocionado,606.15801263827,565.583462194827,-0.343581851735172,-0.485697577944162,23.0038588688933,23.0987306140708,0.0682683336190171,0.0650545948438414,85,120,0,0,79,119,79,119,0,0,1,1,85,120,0,0,78,119,79,119,0,0,0.987341772151899,1,79,119,-40.5745504434426,-0.14211572620899,es,proud,excited,orgulloso,emocionado,orgullosoemocionado
emocional,549.695135152636,611.62234847951,-0.537856691837203,-0.397075044506045,15.1115708190715,36.3250015009026,0.0666707519650154,0.133645643976284,119,70,0,2,111,66,112,67,0,1,0.991071428571429,0.985074626865672,119,71,0,1,109,67,112,68,0,0,0.973214285714286,0.985294117647059,111,66,61.9272133268732,0.140781647331158,es,mental,emotional,mental,emocional,mentalemocional
emperador,654.649833324127,665.624482783062,-0.239586307271985,0.0020583338358077,27.5240203406672,29.3613071635344,0.0805992284426483,0.134889945507742,101,125,4,2,96,116,97,117,1,0,0.989690721649485,0.991452991452991,101,125,4,2,90,113,97,117,1,0,0.927835051546392,0.965811965811966,96,116,10.9746494589351,0.241644641107793,es,imperial,emperor,imperial,emperador,imperialemperador
empresario,531.562272729957,601.014082355512,-0.443908784849823,-0.277501859030367,10.5069042482703,21.0975742390894,0.0594524758523911,0.0862482620477573,124,88,1,3,121,85,121,85,0,1,1,1,124,88,1,3,121,70,121,85,0,1,1,0.823529411764706,121,85,69.451809625555,0.166406925819456,es,millionaire,entrepreneur,millonario,empresario,millonarioempresario
enamorado,556.173099997599,585.749793814661,-0.426063503168728,-0.389602896606704,22.1202692196141,16.5197638854962,0.0674663232423003,0.0502324078479561,106,107,1,3,100,97,103,98,0,1,0.970873786407767,0.989795918367347,106,106,1,4,100,92,103,97,0,2,0.970873786407767,0.948453608247423,100,97,29.5766938170615,0.0364606065620244,es,mistress,lover,amante,enamorado,amanteenamorado
encantador,579.723700785969,634.125593396375,-0.412680330284419,-0.282566653934391,13.7766563995749,24.18756937853,0.0458134546190985,0.091349608499249,138,97,0,1,127,91,128,93,0,0,0.9921875,0.978494623655914,138,97,0,1,124,90,128,93,0,0,0.96875,0.967741935483871,127,91,54.4018926104059,0.130113676350028,es,attractive,charming,atractivo,encantador,atractivoencantador
encontrar,554.135803788313,578.974212486121,-0.483437062148687,-0.321272891603712,14.5159320939763,18.1765255825594,0.0525527870871762,0.0643065252500331,114,163,2,3,107,160,108,160,0,0,0.990740740740741,1,114,163,2,3,106,153,108,160,0,0,0.981481481481482,0.95625,107,160,24.8384086978077,0.162164170544976,es,search,find,buscar,encontrar,buscarencontrar
energía,551.497681818347,539.685847682546,-0.550827267671578,-0.54831739168491,14.7766275863942,11.8075587698414,0.0494078444430774,0.0481008023212806,159,159,0,0,155,151,156,153,0,0,0.993589743589744,0.986928104575163,158,159,1,0,150,144,155,153,1,0,0.967741935483871,0.941176470588235,154,151,-11.8118341358003,0.00250987598666785,es,power,energy,potencia,energía,potenciaenergía
enfermedad,549.588692980833,619.442963438223,-0.527913129709048,-0.310923112577303,14.9776533884077,31.7144310680702,0.0550146441545639,0.0790861723641385,119,88,2,3,114,82,115,83,1,0,0.991304347826087,0.987951807228916,120,87,1,4,111,78,116,82,0,1,0.956896551724138,0.951219512195122,114,82,69.85427045739,0.216990017131745,es,flu,disease,gripe,enfermedad,gripeenfermedad
enfermo,551.720624972877,556.766842112634,-0.583467108919754,-0.487187750799455,22.273687485261,17.0210537529434,0.0643796793005734,0.0570114455617291,105,163,2,1,96,152,97,153,0,0,0.989690721649485,0.993464052287582,103,162,4,2,91,150,95,152,2,1,0.957894736842105,0.986842105263158,96,152,5.04621713975655,0.0962793581202994,es,ill,sick,indispuesto,enfermo,indispuestoenfermo
enojado,568.156681409634,546.377341483702,-0.483945154517918,-0.37694337523906,24.3954056799678,13.9018394527398,0.0600542116369172,0.0703174714024429,119,84,0,1,113,82,116,82,0,0,0.974137931034483,1,119,84,0,1,113,79,116,82,0,0,0.974137931034483,0.963414634146341,113,82,-21.7793399259323,0.107001779278858,es,jealous,angry,celoso,enojado,celosoenojado
enorme,526.966280308567,580.387000032076,-0.624919050242454,-0.398978104195024,11.4811993108172,23.4549510606194,0.0391177597860619,0.082679786177155,141,86,0,1,132,81,135,81,0,0,0.977777777777778,1,141,86,0,1,132,78,135,81,0,0,0.977777777777778,0.962962962962963,132,81,53.4207197235086,0.22594094604743,es,big,huge,grande,enorme,grandeenorme
