target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,he_cue,he_target,he_word_combo
אור,482.666000009764,495.806333307503,-0.498008983202721,-0.598381555839389,38.3746122658563,46.31241695505,0.175855453877096,0.0938096663879647,9,24,1,2,7,24,8,24,1,0,0.875,1,9,24,1,2,7,24,8,24,1,0,0.875,1,7,24,13.1403332977389,-0.100372572636667,he,darkness,light,חושך,אור,חושךאור
אורך,532.774756751958,509.161916670843,-0.340790669953447,-0.376521322793049,36.5012489203857,32.6505842338275,0.175680724645591,0.214385298883944,40,13,5,0,37,12,37,12,0,0,1,1,40,13,5,0,35,10,37,12,0,0,0.945945945945946,0.833333333333333,37,12,-23.6128400811148,-0.0357306528396012,he,size,length,גודל,אורך,גודלאורך
אות,564.181199993604,506.478090899877,-0.314398398494483,-0.400782065651441,15.823445335392,30.6573861715338,0.0713603424248735,0.113566764264411,16,13,0,0,15,11,16,12,0,0,0.9375,0.916666666666667,16,13,0,0,14,12,16,12,0,0,0.875,1,15,11,-57.703109093727,-0.0863836671569586,he,frequency,signal,תדר,אות,תדראות
אזור,463.250882335279,483.901764696998,-0.599966649495287,-0.45321357069601,27.6960866429015,17.5572970335106,0.163905474639856,0.109801822549197,20,18,1,1,17,17,17,17,0,0,1,1,20,18,1,1,17,14,17,17,0,0,1,0.823529411764706,17,17,20.6508823617186,0.146753078799277,he,county,district,מחוז,אזור,מחוזאזור
אזעקה,535.193250000261,540.08725009943,-0.205400551501828,-0.507207254798139,22.0351163834471,67.7577727861494,0.117667467625657,0.389651225060698,15,5,1,0,13,4,13,4,0,0,1,1,15,5,1,0,11,4,13,4,0,0,0.846153846153846,1,12,4,4.89400009916892,-0.301806703296311,he,alert,alarm,דרוך,אזעקה,דרוךאזעקה
אח,512.860636348228,439.538000003968,-0.351302320414262,-0.900411986066584,48.0424636620787,27.4053245367719,0.16531563611889,0.428690703518567,13,5,0,0,11,3,11,4,0,0,1,0.75,13,5,0,0,11,4,11,4,0,0,1,1,11,3,-73.3226363442592,-0.549109665652322,he,sister,brother,אחות,אח,אחותאח
אחי,509.189647051016,562.635758636725,-0.420905319619031,-0.164523420689281,25.0341746120588,20.9090358886064,0.169736636385025,0.0945823371614201,21,33,2,2,17,29,17,30,0,0,1,0.966666666666667,22,33,1,2,16,27,17,30,0,0,0.941176470588235,0.9,17,29,53.4461115857088,0.25638189892975,he,dude,bro,גבר,אחי,גבראחי
אחיין,517.036347782688,555.930136342776,-0.427219628021017,-0.341912968376568,20.2882634216124,54.1223130384112,0.0719892329849517,0.13044620096799,30,25,0,0,23,22,27,23,0,0,0.851851851851852,0.956521739130435,30,25,0,0,24,21,27,23,0,0,0.888888888888889,0.91304347826087,23,22,38.8937885600876,0.0853066596444491,he,grandson,nephew,נכד,אחיין,נכדאחיין
אחרון,496.910124995898,441.02518193247,-0.58445012323789,-0.641370415490686,23.9901676443204,16.9207187852885,0.091805982340677,0.0974006984780285,25,11,1,0,24,11,24,11,0,0,1,1,25,11,1,0,24,10,24,11,0,0,1,0.909090909090909,24,11,-55.8849430634278,-0.0569202922527963,he,final,ultimate,סופי,אחרון,סופיאחרון
אחרון.1,427.951687439276,479.741352960721,-0.827589129984993,-0.528941603245254,23.0032397322011,16.9352181316029,0.0899019889437634,0.081702418425237,18,18,0,0,16,17,17,17,0,0,0.941176470588235,1,18,18,0,0,16,13,17,17,0,0,0.941176470588235,0.764705882352941,16,17,51.7896655214449,0.298647526739739,he,first,last,ראשון,אחרון,ראשוןאחרון
אי פעם,515.079666699457,598.846291647049,-0.665174334423672,-0.154875517096467,50.0917639272871,64.7195782221224,0.23553072114701,0.248542571075119,3,27,4,0,3,24,3,25,0,0,1,0.96,3,27,4,0,3,25,3,25,0,0,1,1,3,24,83.7666249475918,0.510298817327205,he,never,ever,לעולם לא,אי פעם,לעולם לאאי פעם
אי שם,520.312833335331,556.518511619574,-0.28002382416186,-0.264977517186973,23.4840702020672,23.9890982731927,0.150417067193532,0.10200473127015,12,48,2,1,12,43,12,44,0,0,1,0.977272727272727,12,48,2,1,12,35,12,44,0,0,1,0.795454545454545,12,43,36.205678284243,0.0150463069748863,he,elsewhere,somewhere,במקום אחר,אי שם,במקום אחראי שם
אידיוט,480.807833285672,495.900714295086,-0.769155120321223,-0.442018584941208,13.1232011505309,34.8909017538895,0.091694592063602,0.171575589793057,7,23,0,1,6,21,6,21,0,0,1,1,7,23,0,1,6,19,6,21,0,0,1,0.904761904761905,6,21,15.0928810094132,0.327136535380015,he,fool,idiot,טיפש,אידיוט,טיפשאידיוט
איוורור,685.557705883046,885.046499995507,0.296430810284831,1.25970150686711,52.9483703458954,159.777597306576,0.246618780739958,0.724966865428919,18,11,2,0,17,8,18,11,0,0,0.944444444444444,0.727272727272727,18,11,2,0,15,10,18,11,0,0,0.833333333333333,0.909090909090909,17,8,199.488794112461,0.963270696582277,he,valve,ventilation,שסתום,איוורור,שסתוםאיוורור
