target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,th_cue,th_target,th_word_combo,unrelated_th_cue
รายสัปดาห์,605.014750023198,704.795599998825,-0.433733449346931,-0.0715843512616445,60.981312087166,107.032180559913,0.203230221568675,0.319471213165313,4,5,0,0,4,5,4,5,0,0,1,1,4,5,0,0,4,4,4,5,0,0,1,0.8,4,5,99.7808499756271,0.362149098085287,th,daily,weekly,รายวัน,รายสัปดาห์,รายวันรายสัปดาห์,มงกุฎ
รายได้,487.8098333318,624.206500008081,-0.778078045969049,-0.343624956313989,33.0083069847018,100.954536425764,0.0877234036179317,0.345363031784179,6,6,0,1,6,6,6,6,0,0,1,1,6,6,0,1,6,6,6,6,0,0,1,1,6,6,136.396666676281,0.434453089655059,th,profit,income,กำไร,รายได้,กำไรรายได้,อ่อนหวาน
รุ่งอรุณ,562.937699998773,736.41999998736,-0.636614030360563,0.0842754330632346,33.0180631820282,60.5493807710005,0.070909618624979,0.217005993974464,10,8,0,0,10,8,10,8,0,0,1,1,10,8,0,0,10,8,10,8,0,0,1,1,10,8,173.482299988588,0.720889463423798,th,sunset,dawn,พระอาทิตย์ตกดิน,รุ่งอรุณ,พระอาทิตย์ตกดินรุ่งอรุณ,ชาย
รุ่นน้อง,475.237000000081,578.961111063513,-0.692091495700904,-0.455043399922729,,29.8853256835146,,0.0668367494321965,1,9,0,0,1,9,1,9,0,0,1,1,1,9,0,0,1,9,1,9,0,0,1,1,1,9,103.724111063432,0.237048095778175,th,senior,junior,อาวุโส,รุ่นน้อง,อาวุโสรุ่นน้อง,ปัจจัย
รู,592.072666682303,764.420333293617,-0.553868569158496,-0.201369109723854,96.1683595901434,135.363396744517,0.395762270798991,0.10058219971093,3,3,2,1,3,3,3,3,0,0,1,1,3,3,2,1,3,3,3,3,0,0,1,1,3,3,172.347666611314,0.352499459434642,th,crack,hole,รอยแตก,รู,รอยแตกรู,กวี
รูปถ่าย,518.593666666731,523.661333312979,-0.601757612467427,-0.619399414111506,59.1304634412702,71.1936696606867,0.178372850425839,0.29393581609216,3,6,0,0,3,6,3,6,0,0,1,1,3,6,0,0,2,6,3,6,0,0,0.666666666666667,1,3,6,5.06766664624831,-0.0176418016440789,th,picture,photo,รูปภาพ,รูปถ่าย,รูปภาพรูปถ่าย,อยู่
รูปปั้น,774.85600001792,650.078099875254,0.400104583853856,-0.173218827440199,310.764436971617,44.4842735492096,1.31362844899061,0.176673537992273,3,10,1,0,3,10,3,10,1,0,1,1,4,10,0,0,4,9,4,10,0,0,1,0.9,3,10,-124.777900142666,-0.573323411294055,th,monument,statue,อนุสาวรีย์,รูปปั้น,อนุสาวรีย์รูปปั้น,การเปิด
รู้,447.72066666118,590.378500000224,-0.918706182370827,-0.554076085463286,15.2426617421348,78.6214999997755,0.0896062702676561,0.186331868005741,6,2,1,0,6,2,6,2,0,0,1,1,6,2,1,0,6,2,6,2,0,0,1,1,6,2,142.657833339045,0.364630096907541,th,recognize,knew,จำได้,รู้,จำได้รู้,ตราสัญลักษณ์
รู้,447.72066666118,590.378500000224,-0.918706182370827,-0.554076085463286,15.2426617421348,78.6214999997755,0.0896062702676561,0.186331868005741,6,2,1,0,6,2,6,2,0,0,1,1,6,2,1,0,6,2,6,2,0,0,1,1,6,2,142.657833339045,0.364630096907541,th,recognize,knew,จำได้,รู้,จำได้รู้,สมาชิก
รู้.1,809,586.928666666655,-0.387000138053891,-0.425409627494783,187,155.661482130674,0.157419090165496,0.448659182563395,2,3,1,0,2,3,2,3,1,0,1,1,3,3,0,0,3,3,3,3,0,0,1,1,2,3,-222.071333333345,-0.0384094894408921,th,now,know,ตอนนี้,รู้,ตอนนี้รู้,ตราสัญลักษณ์
รู้.1,809,586.928666666655,-0.387000138053891,-0.425409627494783,187,155.661482130674,0.157419090165496,0.448659182563395,2,3,1,0,2,3,2,3,1,0,1,1,3,3,0,0,3,3,3,3,0,0,1,1,2,3,-222.071333333345,-0.0384094894408921,th,now,know,ตอนนี้,รู้,ตอนนี้รู้,สมาชิก
ร่วมทาง,657.547000004165,608.672199971401,-0.44755751614554,-0.673350601632208,76.8149358607052,70.7575379821739,0.152121660624379,0.224792185522392,5,5,0,0,5,5,5,5,0,0,1,1,5,5,0,0,5,5,5,5,0,0,1,1,5,5,-48.8748000327643,-0.225793085486668,th,escort,accompany,คุ้มกัน,ร่วมทาง,คุ้มกันร่วมทาง,หลุมฝังศพ
ร้องขอ,515.490800071566,546.625666672664,-0.736963156607525,-0.691061471188708,62.4278732882973,25.4903465286556,0.251118591357696,0.0549435416079957,5,6,0,1,5,6,5,6,0,0,1,1,5,6,0,1,5,6,5,6,0,0,1,1,5,6,31.1348666010985,0.0459016854188172,th,demand,request,เรียกร้อง,ร้องขอ,เรียกร้องร้องขอ,เคมี
ร้อย,468.387999992032,754.183333337145,-0.848017503720366,-0.247869970182533,37.1897151930866,139.547249973002,0.120054624349773,0.34275935886939,6,9,0,0,6,9,6,9,0,0,1,1,6,9,0,0,6,8,6,9,0,0,1,0.888888888888889,6,9,285.795333345113,0.600147533537833,th,thousand,hundred,พัน,ร้อย,พันร้อย,ขโมย
ร้านอาหาร,623.412500008948,604.562333269801,-0.476499355997589,-0.70841088761951,97.6431830627148,57.3771646682842,0.235190409522472,0.0131215891973382,4,3,0,0,4,3,4,3,0,0,1,1,4,3,0,0,4,3,4,3,0,0,1,1,4,3,-18.8501667391464,-0.231911531621922,th,pub,restaurant,ผับ,ร้านอาหาร,ผับร้านอาหาร,เอดส์
ร้ายแรง,530.54950000011,581.2089999762,-0.520201076192581,-0.434233018363845,60.5500587535323,30.0567172210598,0.347160163079771,0.118084192259466,4,7,0,0,4,7,4,7,0,0,1,1,4,7,0,0,4,6,4,7,0,0,1,0.857142857142857,4,7,50.6594999760896,0.0859680578287368,th,deadly,fatal,ปางตาย,ร้ายแรง,ปางตายร้ายแรง,ตอนนี้
ฤดูหนาว,453.236249904643,538.685499976156,-0.978666535533624,-0.601477768355506,37.1661220641078,64.897499976214,0.165450923099604,0.12232776840143,4,2,0,0,4,2,4,2,0,0,1,1,4,2,0,0,4,2,4,2,0,0,1,1,4,2,85.4492500715127,0.377188767178118,th,summer,winter,ฤดูร้อน,ฤดูหนาว,ฤดูร้อนฤดูหนาว,วัตถุประสงค์
ฤดูใบไม้ร่วง,492.254000010056,602.375749970219,-0.613963820063848,-0.433880965981746,10.0393662977706,18.8656124633107,0.0225063037667694,0.115272679743558,4,4,0,2,4,4,4,4,0,0,1,1,4,4,0,2,4,4,4,4,0,0,1,1,4,4,110.121749960163,0.180082854082102,th,spring,autumn,ฤดูใบไม้ผลิ,ฤดูใบไม้ร่วง,ฤดูใบไม้ผลิฤดูใบไม้ร่วง,ความสนใจ
ลงทุน,606.539000023855,678.711571449023,-0.476527599763895,-0.247592050255528,99.5550872076791,149.162278813203,0.308938297051384,0.345165422868871,4,7,0,1,4,7,4,7,0,0,1,1,4,7,0,1,4,6,4,7,0,0,1,0.857142857142857,4,7,72.1725714251679,0.228935549508367,th,finance,invest,การเงิน,ลงทุน,การเงินลงทุน,ยืน
ลงนาม,605.060666563397,544.497333349408,-0.419850496221627,-0.618345663035732,41.0582072542318,50.7699530092256,0.15756292627416,0.124720223706836,3,3,0,0,3,3,3,3,0,0,1,1,3,3,0,0,3,3,3,3,0,0,1,1,3,3,-60.563333213989,-0.198495166814105,th,form,sign,แบบฟอร์ม,ลงนาม,แบบฟอร์มลงนาม,สมอง
ลด,491.626000002393,782.707333420742,-0.851770625230046,0.0114495834635576,22.2442326361012,233.482588401294,0.105144804287202,0.60238351885947,10,3,0,0,10,3,10,3,0,0,1,1,10,3,0,0,10,3,10,3,0,0,1,1,10,3,291.081333418349,0.863220208693604,th,increase,reduce,เพิ่ม,ลด,เพิ่มลด,เกี่ยวกับอังกฤษ
ลบ,564.945000000007,563.798500044799,-0.790377809553421,-0.598080988614987,8.97600002383103,90.6906670457086,0.0233594709885001,0.24902022226309,2,8,0,0,2,8,2,8,0,0,1,1,2,8,0,0,2,7,2,8,0,0,1,0.875,2,8,-1.14649995520847,0.192296820938434,th,plus,minus,บวก,ลบ,บวกลบ,ผึ้ง
ลบ,564.945000000007,563.798500044799,-0.790377809553421,-0.598080988614987,8.97600002383103,90.6906670457086,0.0233594709885001,0.24902022226309,2,8,0,0,2,8,2,8,0,0,1,1,2,8,0,0,2,7,2,8,0,0,1,0.875,2,8,-1.14649995520847,0.192296820938434,th,plus,minus,บวก,ลบ,บวกลบ,รอยสัก
ลบ.1,493.107000095421,696.800000047719,-0.749797472726562,-0.65565759408039,52.4573274238373,107.128769842763,0.157809831173348,0.123029394121745,4,3,1,2,3,3,4,3,0,0,0.75,1,4,3,1,2,4,2,4,3,0,0,1,0.666666666666667,3,3,203.692999952298,0.0941398786461725,th,eliminate,remove,กำจัด,ลบ,กำจัดลบ,ผึ้ง
ลบ.1,493.107000095421,696.800000047719,-0.749797472726562,-0.65565759408039,52.4573274238373,107.128769842763,0.157809831173348,0.123029394121745,4,3,1,2,3,3,4,3,0,0,0.75,1,4,3,1,2,4,2,4,3,0,0,1,0.666666666666667,3,3,203.692999952298,0.0941398786461725,th,eliminate,remove,กำจัด,ลบ,กำจัดลบ,รอยสัก
ละครตลก,578.207249999992,618.486999975954,-0.51442332184145,0.076082438217555,44.6331940336698,100.512999976374,0.123799251303095,0.0353728216901095,4,2,0,0,4,2,4,2,0,0,1,1,4,2,0,0,4,2,4,2,0,0,1,1,4,2,40.2797499759617,0.590505760059005,th,drama,comedy,บทละคร,ละครตลก,บทละครละครตลก,กรรม
ละครสัตว์,536.505666539791,721.837000023982,-0.685613275838104,-0.084997211704763,25.2476044397919,119.340117766227,0.0436233113679335,0.50249695738083,3,4,0,1,3,4,3,4,0,0,1,1,3,4,0,1,3,4,3,4,0,0,1,1,3,4,185.33133348419,0.600616064133341,th,zoo,circus,สวนสัตว์,ละครสัตว์,สวนสัตว์ละครสัตว์,คว้า
ลาก่อน,523.36933334926,540.401249976683,-0.740769912879588,-0.595559644119132,43.2338076052412,48.6312112838974,0.119168487496787,0.132504593607201,6,4,0,0,6,4,6,4,0,0,1,1,6,4,0,0,6,4,6,4,0,0,1,1,6,4,17.0319166274229,0.145210268760457,th,hello,bye,สวัสดี,ลาก่อน,สวัสดีลาก่อน,ไต
ลาดตระเวน,702.744999963493,700.119000004954,0.263078694737625,0.0656251670624056,78.9448880432817,95.1850398625315,0.367917112252546,0.38041334094792,9,5,0,0,9,5,9,5,0,0,1,1,9,5,0,0,8,5,9,5,0,0,0.888888888888889,1,9,5,-2.62599995853952,-0.19745352767522,th,guard,patrol,อารักขา,ลาดตระเวน,อารักขาลาดตระเวน,เปลี่ยน
ลายนิ้วมือ,549.782666412338,564.76742858574,-0.709136809076803,-0.545239430722313,37.7926832077599,44.8911182099176,0.17322407528416,0.107375990100235,3,8,0,2,3,7,3,8,0,0,1,0.875,3,8,0,2,3,7,3,8,0,0,1,0.875,3,7,14.984762173402,0.16389737835449,th,dna,fingerprint,ดีเอ็นเอ,ลายนิ้วมือ,ดีเอ็นเอลายนิ้วมือ,โอชา
ลำดับที่สี่,555.547000015892,529.659666698348,-0.585284802990704,-0.588294128611263,51.1136084821683,32.6464290102927,0.108608245189601,0.0775093589800282,3,3,0,0,3,3,3,3,0,0,1,1,3,3,0,0,3,3,3,3,0,0,1,1,3,3,-25.8873333175433,-0.003009325620559,th,third,fourth,ลำดับที่สาม,ลำดับที่สี่,ลำดับที่สามลำดับที่สี่,ความเปลี่ยนแปลง
ลูกค้า,666.818400038156,512.671200009593,-0.169571902812352,-0.717095977833278,106.343229662321,56.3302683012508,0.423620748173676,0.150877377779113,5,5,1,0,5,5,5,5,0,0,1,1,5,5,1,0,5,5,5,5,0,0,1,1,5,5,-154.147200028563,-0.547524075020925,th,patient,client,คนไข้,ลูกค้า,คนไข้ลูกค้า,ไวรัส
ลูกชาย,411.168499964216,564.000666654785,-1.10455469283346,-0.677841440545616,38.6044715716787,80.0603218990483,0.0712640245214493,0.220552483936771,4,3,0,0,4,3,4,3,0,0,1,1,4,3,0,0,4,3,4,3,0,0,1,1,4,3,152.832166690568,0.42671325228784,th,daughter,son,ลูกสาว,ลูกชาย,ลูกสาวลูกชาย,คล้ายกัน
ลูกพี่ลูกน้อง,504.874999979162,671.715800019505,-0.65293487792227,0.0588440048346576,14.1887280169816,60.1134166970069,0.0920036278783981,0.287461941743987,5,5,0,2,4,5,5,5,0,0,0.8,1,5,5,0,2,4,5,5,5,0,0,0.8,1,4,5,166.840800040343,0.711778882756927,th,relative,cousin,ญาติ,ลูกพี่ลูกน้อง,ญาติลูกพี่ลูกน้อง,วิวัฒนาการ
ล็อก,703.469199969014,1069.18666677,-0.155007446556646,1.49904286835763,65.5982075823392,604.974411194062,0.304864206989034,2.32252398079903,5,3,0,0,5,3,5,3,0,0,1,1,5,3,0,0,5,3,5,3,0,0,1,1,5,3,365.717466800981,1.65405031491428,th,key,lock,กุญแจ,ล็อก,กุญแจล็อก,อาชีพ
ล็อบสเตอร์,754.398666666821,817.389499705409,-0.215211117783867,0.129150392320189,115.530492221954,30.284905759795,0.232176796685841,0.0833086158926139,6,4,0,0,6,4,6,4,0,0,1,1,6,4,0,0,6,4,6,4,0,0,1,1,6,4,62.9908330385879,0.344361510104057,th,tuna,lobster,ทูน่า,ล็อบสเตอร์,ทูน่าล็อบสเตอร์,คัมภีร์ไบเบิล
ล่างสุด,848.731666670424,642.959571384301,0.511329025862995,-0.399128010040148,133.671980529982,75.0865857576424,0.427199600735148,0.198234159479479,6,11,2,1,6,7,6,11,0,0,1,0.636363636363636,6,11,2,1,6,11,6,11,0,0,1,1,6,7,-205.772095286123,-0.910457035903143,th,top,bottom,สูงสุด,ล่างสุด,สูงสุดล่างสุด,ตรวจสอบ
ล้าง,488.119000000093,564.067799986922,-0.789309061909255,-0.829194188306032,32.3270000006595,106.148614443947,0.0524974533234379,0.077515802733368,2,5,1,0,2,5,2,5,0,0,1,1,2,5,1,0,2,5,2,5,0,0,1,1,2,5,75.9487999868287,-0.0398851263967764,th,clean,wash,ทำความสะอาด,ล้าง,ทำความสะอาดล้าง,การแจ้งเตือน
วงดนตรี,691.156000020875,477.678666611027,-0.073453219829437,-0.787153921840684,143.62200333118,55.2398538260458,0.39757406549861,0.155868644943503,3,6,1,1,3,6,3,6,0,0,1,1,3,6,1,1,0,6,3,6,0,0,0,1,3,6,-213.477333409848,-0.713700702011247,th,orchestra,band,วงออเคสตรา,วงดนตรี,วงออเคสตราวงดนตรี,ดีเลิศ
วงโคจร,568.088666652756,559.26000001588,-0.496239563144493,-0.353798715911428,57.0674913527456,93.0952759404068,0.150739799492679,0.295153350772224,6,3,0,1,6,3,6,3,0,0,1,1,6,3,0,1,6,3,6,3,0,0,1,1,6,3,-8.82866663687582,0.142440847233065,th,planet,orbit,ดาวเคราะห์,วงโคจร,ดาวเคราะห์วงโคจร,แอสไพริน
วนิลา,646.773600008898,922.386599995521,-0.625240756574564,0.573694036617303,118.28571679707,224.297763255073,0.139235518556301,0.676042056496305,5,5,0,0,5,5,5,5,0,0,1,1,5,5,0,0,5,5,5,5,0,0,1,1,5,5,275.612999986623,1.19893479319187,th,cinnamon,vanilla,อบเชย,วนิลา,อบเชยวนิลา,คุณปู่คุณตา
วรรณกรรม,551.015999986586,620.024555530658,-0.531958405275283,-0.550292340947003,54.4569592203384,66.1661469936114,0.173872463297189,0.148682148918876,4,9,1,1,4,9,4,9,0,0,1,1,4,9,1,1,4,9,4,9,0,0,1,1,4,9,69.0085555440716,-0.0183339356717197,th,art,literature,ศิลปะ,วรรณกรรม,ศิลปะวรรณกรรม,วัว
วลี,546.594999713823,636.734624967179,-0.436434322297699,-0.202483518704688,45.1396184971701,45.4850694289309,0.114562032249935,0.161255351574313,4,8,0,0,4,8,4,8,0,0,1,1,4,8,0,0,4,8,4,8,0,0,1,1,4,8,90.1396252533558,0.233950803593011,th,dictionary,phrase,พจนานุกรม,วลี,พจนานุกรมวลี,ปริมาณ
วอดก้า,571.609333293765,800.589249999975,-0.424218503695766,-0.0229109748727102,47.3957560197417,99.3152609063519,0.224032203591479,0.239622095068292,3,4,0,0,3,4,3,4,0,0,1,1,3,4,0,0,3,4,3,4,0,0,1,1,3,4,228.97991670621,0.401307528823056,th,whiskey,vodka,วิสกี้,วอดก้า,วิสกี้วอดก้า,ผู้เชี่ยวชาญ
วัคซีน,659.692888898006,591.41700001189,-0.356155013016066,-0.756521070138803,63.2529902432495,3.92642639904857,0.212096889674074,0.0403792566781753,9,3,0,1,9,3,9,3,0,0,1,1,9,3,0,1,9,3,9,3,0,0,1,1,9,3,-68.2758888861152,-0.400366057122737,th,antidote,vaccine,ยาแก้พิษ,วัคซีน,ยาแก้พิษวัคซีน,หนัก
วัตถุระเบิด,746.204666579259,553.789749903881,-0.11061196773025,-0.484815739799465,79.6723395150667,21.7027147477469,0.206738745873126,0.0490309691819494,3,4,0,0,3,4,3,4,0,0,1,1,3,4,0,0,3,4,3,4,0,0,1,1,3,4,-192.414916675378,-0.374203772069215,th,bomb,explosive,ระเบิด,วัตถุระเบิด,ระเบิดวัตถุระเบิด,วันครบรอบ
วัตสัน,837,910.087999994618,0.424229448528227,0.768703654961475,,124.241434414855,,0.4693792807039,1,4,1,0,1,4,1,4,0,0,1,1,1,4,1,0,1,4,1,4,0,0,1,1,1,4,73.087999994618,0.344474206433247,th,sherlock,watson,เชอร์ล็อก,วัตสัน,เชอร์ล็อกวัตสัน,ผม
วันหยุด,587.071333339079,611.043714304454,-0.66845746409717,-0.772617859915882,97.8426205781995,54.3949499763551,0.0850537344026303,0.110677712035633,6,7,0,1,6,7,6,7,0,0,1,1,6,7,0,1,6,7,6,7,0,0,1,1,6,7,23.9723809653756,-0.104160395818712,th,christmas,holiday,คริสต์มาส,วันหยุด,คริสต์มาสวันหยุด,ความต้องการ
วันอังคาร,463.3466666647,696.97689998335,-1.10028141529439,-0.22133379557886,76.1035375935495,49.7674201600358,0.0661998823727806,0.205945577326178,3,10,0,0,3,10,3,10,0,0,1,1,3,10,0,0,3,9,3,10,0,0,1,0.9,3,10,233.63023331865,0.878947619715525,th,monday,tuesday,วันจันทร์,วันอังคาร,วันจันทร์วันอังคาร,ผ้า
วันอาทิตย์,601.505999984656,943.075333333534,-0.365610774375166,0.634951976026699,123.415802168144,153.800458812108,0.358925424618546,0.385973496428264,4,3,0,0,4,3,4,3,0,0,1,1,4,3,0,0,4,3,4,3,0,0,1,1,4,3,341.569333348878,1.00056275040186,th,saturday,sunday,วันเสาร์,วันอาทิตย์,วันเสาร์วันอาทิตย์,เงินโบนัส
วันเกิด,462.229999984091,666.777499976422,-0.950353394057311,-0.247986791600381,15.0934160033696,216.7664999759,0.0664243433393978,0.65268914326804,6,2,0,1,6,2,6,2,0,0,1,1,6,2,0,1,6,1,6,2,0,0,1,0.5,6,2,204.547499992331,0.702366602456931,th,anniversary,birthday,วันครบรอบ,วันเกิด,วันครบรอบวันเกิด,บาป
วัยรุ่น,494.988333333575,1257.71566676205,-0.862661368923616,1.61431062844279,11.3523197972589,678.967841959325,0.114037101245024,2.38216645653418,3,3,0,0,3,3,3,3,0,0,1,1,3,3,0,0,3,3,3,3,0,0,1,1,3,3,762.727333428476,2.47697199736641,th,teenage,teenager,เกี่ยวกับวัยรุ่น,วัยรุ่น,เกี่ยวกับวัยรุ่นวัยรุ่น,ลูกเรือ
วัยเด็ก,457.66625000062,788.363875031129,-1.06971633620769,0.248920518750654,16.9123501936293,104.902788042873,0.138580700964887,0.284133020488749,4,8,0,0,4,8,4,8,0,0,1,1,4,8,0,0,4,7,4,8,0,0,1,0.875,4,8,330.697625030509,1.31863685495834,th,youth,childhood,วัยหนุ่มสาว,วัยเด็ก,วัยหนุ่มสาววัยเด็ก,กฏหมาย
วาด,433.399999996647,586.975666695478,-1.01411825215019,-0.503632575586734,44.600000003353,65.2427681662568,0.0594366158387726,0.172652183488565,2,6,1,0,2,6,2,6,0,0,1,1,2,6,1,0,2,6,2,6,0,0,1,1,2,6,153.575666698831,0.510485676563461,th,paint,draw,ระบายสี,วาด,ระบายสีวาด,มีความเห็นอกเห็นใจ
วิกฤติ,560.253749980649,539.554200001189,-0.47865982831163,-0.52236675221135,46.7647803450772,34.2279122529787,0.231320286738573,0.0806298509373978,4,5,0,0,4,5,4,5,0,0,1,1,4,5,0,0,3,5,4,5,0,0,0.75,1,4,5,-20.6995499794605,-0.0437069238997198,th,situation,crisis,สถานการณ์,วิกฤติ,สถานการณ์วิกฤติ,เซ็นเซอร์
วิญญาณ,462.800000000047,614.097000000009,-0.937407817952933,-0.625245884495517,9.80000000004651,112.097000000009,0.090161811891519,0.233425624027928,2,2,0,1,2,2,2,2,0,0,1,1,2,2,0,1,2,2,2,2,0,0,1,1,2,2,151.296999999963,0.312161933457416,th,soul,spirit,จิตวิญญาณ,วิญญาณ,จิตวิญญาณวิญญาณ,บทความ
วิดีโอ,620.89619999046,639.015333333324,-0.384681067989568,-0.318583643484316,71.1900995654572,48.2021533970329,0.196525344765901,0.165458814623393,5,3,0,1,5,3,5,3,0,0,1,1,5,3,0,1,4,3,5,3,0,0,0.8,1,5,3,18.1191333428646,0.0660974245052513,th,dvd,video,ดีวีดี,วิดีโอ,ดีวีดีวิดีโอ,พระราชวัง
วิตามิน,462.588833146612,508.658000015915,-0.986229307315638,-0.740560903805982,29.1751589513462,26.5849429896064,0.10460058528053,0.123011481415434,6,6,0,0,6,6,6,6,0,0,1,1,6,6,0,0,6,6,6,6,0,0,1,1,6,6,46.0691668693033,0.245668403509656,th,protein,vitamin,โปรตีน,วิตามิน,โปรตีนวิตามิน,โคลน
วิทยาศาสตร์,634.068199985684,604.856249988253,-0.302191676323478,-0.485273613267844,82.3898646123474,36.1944896244946,0.296191060128107,0.194573394375075,5,4,0,1,5,4,5,4,0,0,1,1,5,4,0,1,5,4,5,4,0,0,1,1,5,4,-29.2119499974306,-0.183081936944366,th,technology,science,เทคโนโลยี,วิทยาศาสตร์,เทคโนโลยีวิทยาศาสตร์,มุมมอง
วินาศกรรม,812.490666563312,665.515166649789,0.154932143250484,-0.273400082610148,125.521144473317,64.8674531425462,0.353488368700619,0.253294766424504,3,7,3,0,3,6,3,6,0,0,1,1,3,7,3,0,1,6,3,6,0,0,0.333333333333333,1,3,6,-146.975499913523,-0.428332225860632,th,espionage,sabotage,จารกรรม,วินาศกรรม,จารกรรมวินาศกรรม,การงีบหลับ
วิสัยทัศน์,873.644666684887,628.727499982138,0.236510472434268,-0.382367224073055,237.281256957908,39.1341063120406,0.901786101099028,0.0540082471018935,3,4,0,0,3,4,3,4,0,0,1,1,3,4,0,0,3,4,3,4,0,0,1,1,3,4,-244.917166702749,-0.618877696507323,th,revelation,vision,การเปิดเผย,วิสัยทัศน์,การเปิดเผยวิสัยทัศน์,คำ
วุฒิสภา,619.311749999993,602.198600028642,-0.503848121658325,-0.332677959152887,94.5535147666627,44.2574213265586,0.234221335948192,0.175064743068735,4,5,0,0,4,5,4,5,0,0,1,1,4,5,0,0,4,5,4,5,0,0,1,1,4,5,-17.1131499713518,0.171170162505438,th,parliament,senate,รัฐสภา,วุฒิสภา,รัฐสภาวุฒิสภา,ผู้แพ้
วุฒิสมาชิก,610.857000093325,841.291000000512,-0.106549046841923,0.369803518479056,153.167934146542,168.703047466553,0.673498347499187,0.562380197519553,6,3,0,0,4,3,6,3,0,0,0.666666666666667,1,5,3,1,0,5,3,5,3,1,0,1,1,4,3,230.433999907187,0.476352565320979,th,governor,senator,ผู้ว่าราชการ,วุฒิสมาชิก,ผู้ว่าราชการวุฒิสมาชิก,อุปสรรค
ว่ายน้ำ,472.535999714018,612.454800023686,-0.850979993302624,0.0525865011880572,26.0532839010957,104.610924152127,0.081567064201531,0.631429018382127,4,5,0,0,4,5,4,5,0,0,1,1,4,5,0,0,4,5,4,5,0,0,1,1,4,5,139.918800309667,0.903566494490681,th,drown,swim,จมน้ำ,ว่ายน้ำ,จมน้ำว่ายน้ำ,ผู้สื่อข่าว
ศพ,624.258499968254,768.28274999847,-0.626443173771413,0.290297849168934,81.2269441145154,230.713568240492,0.117676259087392,0.714003741306882,6,4,1,0,6,4,6,4,0,0,1,1,6,4,1,0,6,4,6,4,0,0,1,1,6,4,144.024250030216,0.916741022940346,th,body,corpse,ร่างกาย,ศพ,ร่างกายศพ,ความคิดเห็น
ศักดิ์ศรี,1038.05874998847,666.459666666846,0.938759356674887,-0.656848733507507,519.406496166413,155.956999823951,1.58814052700908,0.0651841260918114,4,3,1,0,4,3,4,3,0,0,1,1,4,3,1,0,4,3,4,3,0,0,1,1,4,3,-371.599083321626,-1.59560809018239,th,pride,dignity,ความภาคภูมิใจ,ศักดิ์ศรี,ความภาคภูมิใจศักดิ์ศรี,เขียว
ศักดิ์สิทธิ์,592.780142877604,624.49185707149,-0.39960729254103,-0.269340759652769,50.2279976864123,47.9234984025829,0.159433168149461,0.167024834996611,7,7,0,0,7,7,7,7,0,0,1,1,7,7,0,0,7,7,7,7,0,0,1,1,7,7,31.7117141938859,0.130266532888261,th,god,divine,พระเจ้า,ศักดิ์สิทธิ์,พระเจ้าศักดิ์สิทธิ์,ฤดูร้อน
ศาสตราจารย์,668.0014999985,1010.25450002405,-0.00796499142787738,0.672774594288406,72.9989441519107,321.24550002368,0.273117491776902,0.820860018812395,4,2,0,0,4,2,4,2,0,0,1,1,4,2,0,0,3,2,4,2,0,0,0.75,1,4,2,342.25300002555,0.680739585716283,th,dean,professor,คณบดี,ศาสตราจารย์,คณบดีศาสตราจารย์,ความเคารพ
ศาสนา,405.90966669051,602.217666682593,-1.05970464073434,-0.302377676027565,39.1281331709026,113.73963468485,0.0850898415290134,0.407228254339996,3,3,0,0,3,3,3,3,0,0,1,1,3,3,0,0,3,2,3,3,0,0,1,0.666666666666667,3,3,196.307999992084,0.75732696470678,th,philosophy,religion,ปรัชญา,ศาสนา,ปรัชญาศาสนา,ปางตาย
ศึกษา,548.088999916756,1458.68900000013,-0.611853290991369,2.97169917733173,39.1587988732928,981.311000000102,0.125138667567017,3.65659601932077,4,2,1,3,4,2,4,2,0,0,1,1,4,2,1,3,4,2,4,2,0,0,1,1,4,2,910.600000083372,3.5835524683231,th,research,study,วิจัย,ศึกษา,วิจัยศึกษา,เงา
สกปรกโสมม,1378.63900003577,953.488749982091,1.72526151698103,0.620902917944234,520.460999964214,65.212407411834,2.03315472490625,0.1696428934688,3,7,0,1,2,4,3,7,0,0,0.666666666666667,0.571428571428571,3,7,0,1,3,7,3,7,0,0,1,1,2,4,-425.150250053675,-1.1043585990368,th,nasty,filthy,น่าสะอิดสะเอียน,สกปรกโสมม,น่าสะอิดสะเอียนสกปรกโสมม,สถานะ
