target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,th_cue,th_target,th_word_combo,unrelated_th_cue
กลุ้มใจ,695.307999995264,670.138000000064,-0.300658801136815,0.23675057864856,90.2667663556799,127.015652751998,0.364937435629164,0.877606773699989,5,5,0,0,5,3,5,5,0,0,1,0.6,5,5,0,0,5,5,5,5,0,0,1,1,5,3,-25.1699999951994,0.537409379785376,th,concern,worry,กังวล,กลุ้มใจ,กังวลกลุ้มใจ,เสื้อ
กล้องจุลทรรศน์,670.81519993344,846.801000071573,-0.259252074996686,0.517378155200967,79.5836387434182,151.027205150418,0.234703890913643,0.398909498741858,10,4,1,1,10,4,10,4,0,0,1,1,10,4,1,1,10,4,10,4,0,0,1,1,10,4,175.985800138133,0.776630230197653,th,telescope,microscope,กล้องโทรทรรศน์,กล้องจุลทรรศน์,กล้องโทรทรรศน์กล้องจุลทรรศน์,สวย
กล้ามเนื้อ,577.351874994827,537.906666667181,-0.470350313664018,-0.669753369209765,46.3879538200052,74.241354893187,0.163888313297237,0.040944326412616,8,3,1,0,8,3,8,3,0,0,1,1,8,3,1,0,8,3,8,3,0,0,1,1,8,3,-39.445208327646,-0.199403055545747,th,nerve,muscle,เส้นประสาท,กล้ามเนื้อ,เส้นประสาทกล้ามเนื้อ,อาชีพ
กล้าหาญ,588.719857139775,589.208500023873,-0.375236291242674,-0.564700817524928,124.116435339181,192.608499976166,0.421548886944084,0.580664747097321,7,2,1,0,7,2,7,2,0,0,1,1,7,2,1,0,7,2,7,2,0,0,1,1,7,2,0.488642884098226,-0.189464526282255,th,noble,brave,มีคุณธรรมสูง,กล้าหาญ,มีคุณธรรมสูงกล้าหาญ,แบบฟอร์ม
กว้าง,515.77999999802,576.620100044849,-0.703148440383962,-0.606262516166424,17.3845256874704,37.9525648354959,0.0964917637833244,0.10896356324646,3,10,2,1,3,10,3,10,0,0,1,1,3,10,2,1,3,10,3,10,0,0,1,1,3,10,60.8401000468293,0.0968859242175382,th,narrow,wide,แคบ,กว้าง,แคบกว้าง,มีสติ
กองทัพ,551.823333333363,513.626000002929,-0.678020977300165,-0.91102144817849,68.4196479377732,153.575000009005,0.409752851556993,0.462219888427488,3,2,1,1,3,2,3,2,0,0,1,1,3,2,1,1,3,2,3,2,0,0,1,1,3,2,-38.197333330434,-0.233000470878325,th,legion,army,พยุหเสนา,กองทัพ,พยุหเสนากองทัพ,ขนมปังปิ้ง
กองทัพเรือ,514.620666674552,577.332333355186,-0.744246332708387,-0.448092752575293,26.9175408670615,45.120974888244,0.0561987465624294,0.124120330487097,6,6,1,0,6,6,6,6,0,0,1,1,6,6,1,0,6,6,6,6,0,0,1,1,6,6,62.7116666806346,0.296153580133094,th,naval,fleet,ทหารเรือ,กองทัพเรือ,ทหารเรือกองทัพเรือ,จินตนาการ
กองบัญชาการ,698.879166650033,703.367000071535,-0.252263057913283,0.470942025411717,71.951879210664,8.2570000238195,0.126201618131488,0.23443414289874,6,2,0,1,6,2,6,2,0,0,1,1,6,2,0,1,6,2,6,2,0,0,1,1,6,2,4.4878334215025,0.723205083325,th,base,headquarters,ฐานทัพ,กองบัญชาการ,ฐานทัพกองบัญชาการ,รับประกัน
กองพัน,551.214250001314,655.069999957573,-0.632335411909106,0.0971488647404832,43.0181934211552,78.4304631086977,0.149340996291259,0.517526643324788,8,4,1,0,8,4,8,4,0,0,1,1,8,4,1,0,8,2,8,4,0,0,1,0.5,8,4,103.855749956259,0.729484276649589,th,regiment,battalion,กองทหาร,กองพัน,กองทหารกองพัน,อบเชย
กอด,548.947000143002,513.96199995825,-0.371980383539082,-0.802907645241022,,14.3959649295683,,0.116293660780082,1,4,0,0,1,4,1,4,0,0,1,1,1,4,0,0,1,4,1,4,0,0,1,1,1,4,-34.985000184752,-0.430927261701939,th,kiss,hug,จูบ,กอด,จูบกอด,เหตุการณ์
กอริลลา,657.651250028605,742.415000011912,-0.3157175088905,0.116392757661117,78.0838269032008,49.3374577033803,0.15764504262237,0.262670452488383,4,4,0,0,4,3,4,4,0,0,1,0.75,4,4,0,0,4,4,4,4,0,0,1,1,4,3,84.7637499833071,0.432110266551617,th,monkey,gorilla,ลิง,กอริลลา,ลิงกอริลลา,การมาถึง
กะลาสี,861.579999928479,797.009000000008,0.416157033032004,0.462864889509598,299.420000071521,154.694569263382,0.635818588988892,0.733904066710168,2,5,1,0,2,5,2,5,0,0,1,1,2,5,1,0,2,5,2,5,0,0,1,1,2,5,-64.5709999284709,0.0467078564775945,th,pirate,sailor,โจรสลัด,กะลาสี,โจรสลัดกะลาสี,งานแสดงโชว์
กะโหลก,470.955999976315,773.893666648791,-0.943087985346578,-0.0239791519272739,46.756000024092,121.847654222917,0.222579839269538,0.3232839881966,2,6,0,1,2,6,2,6,0,0,1,1,2,6,0,1,2,6,2,6,0,0,1,1,2,6,302.937666672476,0.919108833419304,th,bone,skull,กระดูก,กะโหลก,กระดูกกะโหลก,รอง
