target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,ur_cue,ur_target,ur_word_combo
اختیار.1,620.963633330549,593.722400004928,-0.824310063967257,-0.748383554279436,38.9521300240416,28.2765767355054,0.0918800038747024,0.0651944765225942,39,51,2,1,30,25,30,25,1,0,1,1,39,50,2,2,29,18,30,25,1,0,0.966666666666667,0.72,30,25,-27.2412333256208,0.0759265096878212,ur,jurisdiction,authority,دائرہ کار,اختیار,دائرہ کاراختیار
اداکار,613.636294041593,723.614416668285,-0.722624135687245,-0.474046565318744,37.7940222649268,62.0400501838627,0.0802426452858982,0.163200676769277,32,38,0,0,17,24,18,24,0,0,0.944444444444444,1,32,38,0,0,17,22,18,24,0,0,0.944444444444444,0.916666666666667,17,24,109.978122626692,0.248577570368501,ur,author,actor,مصنف,اداکار,مصنفاداکار
ادب,621.79308333479,607.289599952622,-0.79037700466221,-0.890799190844707,33.4637295355931,56.2091401879439,0.077204744323232,0.113208887339159,37,25,0,0,24,15,24,15,0,0,1,1,37,25,0,0,22,15,24,15,0,0,0.916666666666667,1,24,15,-14.5034833821682,-0.100422186182497,ur,art,literature,آرٹ,ادب,آرٹادب
ارادہ,584.734454534047,610.480952370432,-0.901493163020274,-0.696683940804134,33.4207858544365,34.6663134961479,0.0845377653147921,0.103880017768358,42,50,2,0,23,21,24,22,0,0,0.958333333333333,0.954545454545455,42,47,2,3,23,22,24,22,0,0,0.958333333333333,1,22,21,25.7464978363853,0.20480922221614,ur,purpose,intention,مقصد,ارادہ,مقصدارادہ
ارد گرد,713.053625034267,803.974576887979,-0.589611514610537,-0.365600168357761,67.9310975975184,52.4275899521061,0.0887538825499337,0.0954622513919621,25,50,1,4,16,26,17,27,0,2,0.941176470588235,0.962962962962963,24,50,2,4,15,28,16,28,1,1,0.9375,1,16,26,90.9209518537123,0.224011346252776,ur,round,around,راؤنڈ,ارد گرد,راؤنڈارد گرد
استاد,570.465285718657,665.313722254724,-0.989864503568761,-0.765935058459714,24.4731848136936,58.7136088186223,0.0456637633687839,0.118435361500405,54,31,2,1,35,18,35,18,0,0,1,1,55,31,1,1,34,17,35,18,0,0,0.971428571428571,0.944444444444444,35,18,94.8484365360672,0.223929445109047,ur,student,teacher,طالب علم,استاد,طالب علماستاد
استعمال,557.837826047157,696.275963004268,-0.850631629394808,-0.691391259936859,22.9204877962169,52.5160441189474,0.0625593258858033,0.117084569080917,37,40,1,2,23,27,23,27,0,0,1,1,37,41,1,1,23,26,23,26,0,1,1,1,23,27,138.438136957111,0.15924036945795,ur,apply,use,درخواست دیں,استعمال,درخواست دیںاستعمال
اسرار,709.223200066317,846.761000024238,-0.460014001602043,-0.249965528422582,49.8094745570525,136.609335557257,0.116683813081063,0.225377195190054,45,26,3,1,30,11,30,14,0,0,1,0.785714285714286,45,27,3,0,23,12,30,14,0,0,0.766666666666667,0.857142857142857,30,11,137.537799957921,0.21004847317946,ur,secret,mystery,خفیہ,اسرار,خفیہاسرار
اسسٹنٹ,1225.99392853928,1180.40819354363,0.43339997148349,0.577821316959297,204.243898875161,105.215026615546,0.437948212602668,0.200709923109812,23,51,1,0,14,31,15,33,0,0,0.933333333333333,0.93939393939394,22,51,2,0,13,33,14,33,1,0,0.928571428571429,1,14,31,-45.5857349956495,0.144421345475807,ur,secretary,assistant,سیکرٹری,اسسٹنٹ,سیکرٹریاسسٹنٹ
اسلحہ خانہ,907.208185197834,938.996249818021,0.0254509346861778,0.072158571748209,63.0852517352546,55.4289067112192,0.169219099649516,0.13378079568051,50,38,1,1,27,20,28,21,0,0,0.964285714285714,0.952380952380952,47,38,4,1,16,20,28,21,0,0,0.571428571428571,0.952380952380952,27,20,31.7880646201868,0.0467076370620312,ur,arsenal,armory,بارود خانہ,اسلحہ خانہ,بارود خانہاسلحہ خانہ
