target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,ro_cue,ro_target,ro_word_combo,unrelated_ro_cue
apartament,636.844695648351,622.225244450524,-0.433609303713064,-0.428149063339277,21.592824315396,37.1467768741322,0.0548758525038362,0.114250042319786,50,50,0,1,46,45,47,46,0,0,0.978723404255319,0.978260869565217,50,50,0,1,46,45,47,46,0,0,0.978723404255319,0.978260869565217,46,45,-14.6194511978266,0.00546024037378773,ro,house,apartment,casă,apartament,casăapartament,broască
aprecia,543.81388455609,655.52034049272,-0.640964884652931,-0.321826149615386,17.5021152926523,29.1981711087915,0.0486499918944487,0.093348412280951,53,56,1,1,52,48,52,50,0,0,1,0.96,53,55,1,2,51,44,52,49,0,1,0.980769230769231,0.897959183673469,52,47,111.70645593663,0.319138735037544,ro,admire,appreciate,admira,aprecia,admiraaprecia,ținere
aprobare,649.224830195092,631.376208325407,-0.551134584062583,-0.453380322735759,31.0084571874569,33.3734581154321,0.0680240978443201,0.0861360100466839,56,55,0,0,53,48,54,48,0,0,0.981481481481482,1,55,54,1,1,53,48,53,48,1,0,1,1,53,48,-17.8486218696854,0.097754261326824,ro,permission,approval,permisiune,aprobare,permisiuneaprobare,aștepta
apăra,637.257450968909,674.836540996666,-0.559338618344578,-0.477541694039379,40.9099154725508,28.7084498664257,0.104701262244575,0.0809880741106291,56,68,0,1,51,61,52,64,0,0,0.980769230769231,0.953125,56,68,0,1,50,63,52,64,0,0,0.961538461538462,0.984375,51,61,37.5790900277569,0.0817969243051989,ro,protect,defend,proteja,apăra,protejaapăra,creație
arestare,719.704411764594,663.233499975402,-0.146048371252012,-0.321577071504246,39.0483288751577,32.1068831556283,0.113731154489662,0.0938834442595979,55,52,1,1,52,48,53,49,0,0,0.981132075471698,0.979591836734694,55,52,1,1,52,49,53,49,0,0,0.981132075471698,1,51,48,-56.4709117891921,-0.175528700252234,ro,punish,arrest,pedepsire,arestare,pedepsirearestare,niciodată
argint,615.71463157968,629.831102034399,-0.420874839723694,-0.441818330822933,34.1662248566346,36.8571636469216,0.148172023002436,0.114347531818328,61,55,0,2,57,49,58,49,0,2,0.982758620689655,1,60,55,1,2,51,48,57,49,1,2,0.894736842105263,0.979591836734694,57,49,14.1164704547186,-0.0209434910992384,ro,golden,silver,aurit,argint,auritargint,nebunie
arhitect,658.907096153305,641.312017869449,-0.423352920839313,-0.465614019043277,33.5361957309853,21.2139558168301,0.0713641103600798,0.0577911868903241,57,60,0,1,52,56,52,56,0,0,1,1,57,60,0,1,49,55,52,56,0,0,0.942307692307692,0.982142857142857,52,56,-17.5950782838561,-0.0422610982039646,ro,engineer,architect,inginer,arhitect,inginerarhitect,companie
armată,623.626942045901,629.947408112268,-0.524101133190644,-0.37157338156162,29.2363406763447,31.9901267501698,0.0920280360063924,0.0859316694207483,71,50,1,2,69,49,69,49,0,1,1,1,71,50,1,2,62,48,69,49,0,1,0.898550724637681,0.979591836734694,69,49,6.32046606636743,0.152527751629024,ro,legion,army,legiune,armată,legiunearmată,pâine prăjită
armonie,733.949176463089,605.881636361567,-0.101618743515353,-0.462295244062982,42.061878057888,18.7369153561528,0.109754758187702,0.0565681405759628,57,50,3,0,51,44,52,45,2,0,0.980769230769231,0.977777777777778,59,50,1,0,52,42,53,45,1,0,0.981132075471698,0.933333333333333,51,44,-128.067540101522,-0.360676500547629,ro,balance,harmony,echilibru,armonie,echilibruarmonie,ambasadă
armură,665.00279160775,671.780045456892,-0.460690934125737,-0.35131495225203,42.2854260886252,36.0217092282659,0.0828401205178331,0.0759839675664975,53,50,2,1,48,44,51,45,0,0,0.941176470588235,0.977777777777778,54,50,1,1,43,44,51,45,0,0,0.843137254901961,0.977777777777778,48,44,6.7772538491414,0.109375981873707,ro,shield,armor,scut,armură,scutarmură,avocat
armă,572.53412245401,566.076294121393,-0.576015916916359,-0.62513505773006,24.3174822727137,21.8983726865839,0.0944578644853813,0.0741107620670793,53,56,0,1,49,51,52,52,0,0,0.942307692307692,0.980769230769231,53,56,0,1,48,52,52,52,0,0,0.923076923076923,1,49,51,-6.45782833261705,-0.0491191408137003,ro,pistol,weapon,pistol,armă,pistolarmă,inspector
armă,572.53412245401,566.076294121393,-0.576015916916359,-0.62513505773006,24.3174822727137,21.8983726865839,0.0944578644853813,0.0741107620670793,53,56,0,1,49,51,52,52,0,0,0.942307692307692,0.980769230769231,53,56,0,1,48,52,52,52,0,0,0.923076923076923,1,49,51,-6.45782833261705,-0.0491191408137003,ro,pistol,weapon,pistol,armă,pistolarmă,plus
armă.1,555.630571433612,659.036148129036,-0.720330121165595,-0.359042758453819,29.724876297168,25.5291771277505,0.0723450269067427,0.0763578446005211,54,60,0,3,49,54,50,54,0,1,0.98,1,54,60,0,3,49,53,50,54,0,1,0.98,0.981481481481482,49,54,103.405576695424,0.361287362711777,ro,rifle,gun,puşcă,armă,puşcăarmă,inspector
