target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,zh_hk_cue,zh_hk_target,zh_hk_word_combo
豬乸,778.279166674571,940.15557144174,0.61729821444004,1.02830354896823,35.6771753807729,193.771919996546,0.304110053011595,0.69296369141027,13,18,0,1,6,7,13,14,0,0,0.461538461538462,0.5,13,18,0,1,13,14,13,14,0,0,1,1,6,7,161.876404767169,0.411005334528187,zh_hk,cow,pig,乳牛,豬乸,乳牛豬乸
財富,595.937857142375,539.774083334525,-0.15048999855269,-0.622094233684051,83.4106395841774,60.201520456842,0.407988084782662,0.150377240279002,9,15,0,0,7,12,7,12,0,0,1,1,9,15,0,0,7,12,7,12,0,0,1,1,7,12,-56.1637738078498,-0.471604235131361,zh_hk,treasure,wealth,寶藏,財富,寶藏財富
貨物,499.90763636353,584.540181821519,-0.62045075015661,-0.504152694947741,29.6489606543833,57.6081610940913,0.121023851080715,0.189901468250678,11,13,0,0,11,11,11,12,0,0,1,0.916666666666667,11,13,0,0,11,12,11,12,0,0,1,1,11,11,84.6325454579891,0.116298055208869,zh_hk,load,cargo,加載,貨物,加載貨物
貨車,720.162761906154,594.744307694066,-0.159108554660356,-0.300487494590383,80.664788110258,35.6916771064846,0.221620749855994,0.150309990731123,26,17,0,0,21,13,21,13,0,0,1,1,26,17,0,0,8,13,21,13,0,0,0.380952380952381,1,21,13,-125.418454212088,-0.141378939930027,zh_hk,jeep,truck,吉普,貨車,吉普貨車
販毒集團,729.67268749683,653.866249994959,-0.0970603400684964,-0.188233518761196,80.7667649149091,34.5510157758633,0.184149405155876,0.0960252363462783,17,14,1,0,16,12,16,12,0,0,1,1,17,14,1,0,14,12,16,12,0,0,0.875,1,16,12,-75.8064375018705,-0.0911731786926997,zh_hk,mafia,cartel,黑手黨,販毒集團,黑手黨販毒集團
買家,508.260214299367,510.270400005946,-0.718059910948426,-0.579406581523116,17.5283668780206,33.6443472101382,0.0685037674000905,0.106606221510575,18,13,2,1,14,11,15,11,0,1,0.933333333333333,1,18,14,2,0,12,12,15,12,0,0,0.8,1,14,10,2.01018570657891,0.13865332942531,zh_hk,seller,buyer,賣方,買家,賣方買家
貸款,590.157800004745,731.260333333264,-0.399494673601857,-0.0781979284876366,48.0841441282821,79.6570214515044,0.12693264735877,0.247412863991731,13,16,1,0,10,12,10,12,1,0,1,1,12,16,2,0,9,11,9,12,2,0,1,0.916666666666667,10,12,141.102533328519,0.321296745114221,zh_hk,credit,loan,信用,貸款,信用貸款
資本主義,808.287999999327,616.234235293476,0.286421460561993,-0.390122276808411,211.883018956733,24.7087870342726,0.528982700066123,0.0669944132504508,8,19,0,0,7,17,7,18,0,0,1,0.944444444444444,8,19,0,0,6,18,7,18,0,0,0.857142857142857,1,7,17,-192.053764705852,-0.676543737370403,zh_hk,anarchy,capitalism,無政府狀態,資本主義,無政府狀態資本主義
資訊,485.784285717453,451.437666659981,-0.860105301288185,-0.758361443627275,37.5767129148754,15.4456143431167,0.0557501562801924,0.0679956654482763,9,11,0,0,7,9,7,9,0,0,1,1,9,11,0,0,7,9,7,9,0,0,1,1,7,9,-34.3466190574719,0.101743857660911,zh_hk,data,information,數據,資訊,數據資訊
資金,536.023727278934,601.333700004116,-0.508586920704558,-0.290973839658802,43.7405810494848,79.2552546634889,0.189404969470628,0.30995013414092,13,10,1,1,11,10,11,10,0,0,1,1,13,10,1,1,11,9,11,10,0,0,1,0.9,11,10,65.3099727251814,0.217613081045756,zh_hk,budget,funding,預算,資金,預算資金
