target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,cs_cue,cs_target,cs_word_combo,unrelated_cs_cue
kočka,557.610316672124,575.616862506409,-0.91446446009109,-0.809087100013466,18.2194493526148,11.64080577106,0.0646197727857404,0.0390970432238815,67,87,2,5,60,80,60,81,1,1,1,0.987654320987654,67,87,2,5,59,79,60,81,1,1,0.983333333333333,0.975308641975309,60,80,18.006545834285,0.105377360077624,cs,dog,cat,pes,kočka,peskočka,stres
koňak,629.869702700282,692.697128561189,-0.65717347735891,-0.366009395677308,12.2832544316331,22.0659651988216,0.0401050202772001,0.0722947616920719,80,73,1,9,74,70,74,71,0,2,1,0.985915492957746,80,74,1,8,72,71,74,72,0,1,0.972972972972973,0.986111111111111,74,70,62.827425860907,0.291164081681602,cs,rum,cognac,rum,koňak,rumkoňak,kampaň
kravata,752.380130434705,675.002526320073,-0.320051053945992,-0.428104380499381,27.7795208235028,20.4669822883184,0.0732663071861771,0.0515008085081198,81,82,4,7,69,76,69,76,2,2,1,1,81,82,4,7,67,75,69,76,2,2,0.971014492753623,0.986842105263158,69,76,-77.3776041146317,-0.108053326553389,cs,bind,tie,svázat,kravata,svázatkravata,bonus
kreslit,674.124078134796,659.530686042777,-0.47392472997611,-0.513611145171706,35.71397062848,22.4229769007601,0.0983518232692177,0.0591443905789819,77,91,3,0,64,87,65,88,1,0,0.984615384615385,0.988636363636364,76,90,4,1,65,84,65,87,1,1,1,0.96551724137931,64,86,-14.5933920920189,-0.0396864151955962,cs,paint,draw,malovat,kreslit,malovatkreslit,soucitný
krize,680.524619054939,645.016766672389,-0.407606786843695,-0.465002363812028,21.9992852419779,23.4394291341962,0.0746548503775474,0.102753114233814,94,100,3,1,84,90,86,90,1,0,0.976744186046512,1,95,100,2,1,84,84,86,90,1,0,0.976744186046512,0.933333333333333,84,90,-35.5078523825501,-0.0573955769683332,cs,situation,crisis,situace,krize,situacekrize,senzor
krk,573.229970594607,612.682558807259,-0.802502515091365,-0.615374853920224,13.6992915778282,19.7021662636863,0.0423888662566819,0.0586054335297006,77,72,2,5,68,68,69,69,0,1,0.985507246376812,0.985507246376812,77,72,2,5,68,67,69,69,0,1,0.985507246376812,0.971014492753623,68,68,39.4525882126526,0.187127661171141,cs,throat,neck,hrdlo,krk,hrdlokrk,vstoupit
krocan,708.837089729889,713.878378789722,-0.306877492525445,-0.315148577262469,20.5392957660813,21.704389564652,0.0753382304505908,0.0690881920396633,85,78,7,3,78,66,79,69,1,0,0.987341772151899,0.956521739130435,85,78,7,3,78,67,79,69,1,0,0.987341772151899,0.971014492753623,78,66,5.04128905983248,-0.00827108473702448,cs,chicken,turkey,kuře,krocan,kuřekrocan,hrdost
krutost,699.165227301262,764.256930546565,-0.358915079226769,-0.155582819499896,32.8334326436691,34.8581592163214,0.103753877056749,0.105307376657211,71,77,1,6,66,72,67,73,0,2,0.985074626865672,0.986301369863014,71,79,1,4,66,73,67,75,0,0,0.985074626865672,0.973333333333333,66,72,65.0917032453033,0.203332259726873,cs,evil,cruelty,zlo,krutost,zlokrutost,červen
krutý,640.756121945446,657.339914637063,-0.60762484069292,-0.421397289821472,20.2604449206554,18.1643464146251,0.0641915555417048,0.063004178117351,92,90,3,2,82,83,82,84,0,1,1,0.988095238095238,92,89,3,3,79,77,82,83,0,2,0.963414634146341,0.927710843373494,82,82,16.5837926916173,0.186227550871449,cs,brutal,cruel,brutální,krutý,brutálníkrutý,chirurg
krysa,616.556806455173,695.574014251418,-0.676584945337833,-0.455395453558171,18.2035712598359,21.6997805890133,0.0590423558958993,0.0621348339103855,66,78,3,1,62,70,63,70,1,1,0.984126984126984,1,66,78,3,1,61,70,63,70,1,1,0.968253968253968,1,62,70,79.0172077962445,0.221189491779662,cs,mouse,rat,myš,krysa,myškrysa,soukromý
