"word","class","avgRT","avgZ_RT","samplesize","n_answered","seRT","seZ_RT","accuracy","Z2.5_avgRT","Z2.5_avgZ_RT","Z2.5_samplesize","Z2.5_n_answered","Z2.5_seRT","Z2.5_seZ_RT","Z2.5_accuracy","Z3.0_avgRT","Z3.0_avgZ_RT","Z3.0_samplesize","Z3.0_n_answered","Z3.0_seRT","Z3.0_seZ_RT","Z3.0_accuracy"
"psychologie","word",623.05306588206,-0.18714264753217,170,172,14.2088824774605,0.0521445062224643,0.988372093023256,610.217366466625,-0.245468019247767,167,167,11.8870403833918,0.0405497683931662,1,615.907620237657,-0.22812638517707,168,168,13.1148219055291,0.0438798493938814,1
"psychologique","word",722.412270345365,0.200595004556155,172,178,21.4307972392295,0.0744171311276049,0.966292134831461,686.315417678522,0.0481085526701572,164,164,17.3460639696947,0.0543829225730902,1,690.972575297679,0.0799396018158817,166,166,17.4686899191546,0.0582303818720802,1
"psycholotants","nonword",1051.43381710915,1.84555008730126,164,175,31.1333099855913,0.136773254300479,0.937142857142857,893.259537842923,1.00247002294831,119,119,24.7054390251412,0.0753615915746678,1,916.516744227766,1.13331684124419,129,129,24.7522919342024,0.0801961865537867,1
"psytice","nonword",692.093355712275,0.0715618374705649,167,169,18.3968851237412,0.061087236121956,0.988165680473373,678.695465877741,0.0154866504147491,164,164,16.9879381074854,0.0527321075799037,1,683.491250933028,0.0320312966198046,165,165,17.552536407468,0.054960852743525,1
"ptalenaude","nonword",728.45128823558,0.146329830397443,170,175,19.8299181380583,0.0619659854000519,0.971428571428571,709.242712577425,0.0808104014041988,167,167,15.6014807475893,0.0491495341876712,1,712.277196431131,0.096328823906154,168,168,15.8024238932069,0.0512614874124086,1
"pub","word",617.906567764175,-0.229166456322915,183,199,15.0270369101113,0.0642652973750575,0.919597989949749,602.786982686279,-0.282570091849082,179,179,11.6253959868675,0.049457296536775,1,607.515811606873,-0.279935267549232,181,181,13.2321934075,0.0537431714339552,1
"public","word",557.732967895726,-0.47779361650922,190,195,13.4369564390911,0.0478527052588999,0.974358974358974,554.509179366074,-0.495109437147099,189,189,13.1137022933789,0.0448465654703874,1,557.732967895726,-0.47779361650922,190,190,13.4369564390911,0.0478527052588999,1
"publicité","word",593.504733038293,-0.333780924866865,330,333,11.0068560948545,0.0371170725958355,0.990990990990991,584.795923478997,-0.361276642800318,328,328,9.02616010673455,0.0316811543989155,1,584.795923478997,-0.361276642800318,328,328,9.02616010673455,0.0316811543989155,1
"puce","word",622.253608121048,-0.215472304702696,148,157,16.685530406658,0.0635123817627177,0.942675159235669,609.568972615857,-0.276208310261473,146,146,14.1102032356203,0.0471800578280296,1,609.568972615857,-0.276208310261473,146,146,14.1102032356203,0.0471800578280296,1
"puditch","nonword",650.496380921889,-0.130962402817949,126,130,21.5667761288475,0.0751860918388436,0.969230769230769,628.271221279603,-0.239605606751263,122,122,18.8060697847652,0.0543329946458882,1,628.271221279603,-0.239605606751263,122,122,18.8060697847652,0.0543329946458882,1
"pufrit","nonword",660.880951612941,-0.0760593028138079,186,194,18.386608666219,0.054618000307884,0.958762886597938,651.172809782647,-0.11411771684675,184,184,17.1538163714097,0.0479844688174695,1,651.172809782647,-0.11411771684675,184,184,17.1538163714097,0.0479844688174695,1
"puissance","word",602.810490283077,-0.362387191947189,319,325,9.58114498158372,0.0333614149252789,0.981538461538462,597.121786752342,-0.386541485817314,317,317,8.73620300101699,0.0288459527542597,1,597.121786752342,-0.386541485817314,317,317,8.73620300101699,0.0288459527542597,1
"pulas","nonword",634.672191075872,-0.1314091588437,224,228,10.9711821397374,0.0471544498883593,0.982456140350877,627.164544148627,-0.162943026181822,222,222,9.67139815211852,0.0419181199624773,1,627.164544148627,-0.162943026181822,222,222,9.67139815211852,0.0419181199624773,1
"punir","word",592.190542006394,-0.371931917687674,188,196,10.7448501107009,0.0430939524131943,0.959183673469388,592.190542006394,-0.371931917687674,188,188,10.7448501107009,0.0430939524131943,1,592.190542006394,-0.371931917687674,188,188,10.7448501107009,0.0430939524131943,1
"pupitre","word",714.123028787916,0.20747503363267,139,159,22.8252489179625,0.0803463889186938,0.874213836477987,678.006947380927,0.0824943537339196,133,133,17.8803901828366,0.0653286801345903,1,696.014125011179,0.138888512269913,136,136,20.3228262221708,0.0716188088762567,1
"pupitrecité","nonword",815.801232036458,0.565859715342621,256,267,25.6318596751543,0.0810822400622787,0.958801498127341,717.061790523711,0.238519135427378,232,232,14.9732214674767,0.0506164295167127,1,747.915776672772,0.32039869946198,240,240,18.8369765139939,0.0566478253830592,1
"puraghav","nonword",674.688408626826,-0.0755201909858722,151,153,24.7461456851191,0.0846616259959747,0.986928104575163,643.509882331605,-0.197818389517121,147,147,17.7812466307191,0.0570783372604352,1,643.509882331605,-0.197818389517121,147,147,17.7812466307191,0.0570783372604352,1
"purtigner","nonword",819.480298843718,0.651037179650258,173,186,28.1510310653734,0.1199856094949,0.93010752688172,754.071873124882,0.293579052508589,160,160,20.7677752150302,0.0661172813343245,1,757.931232715799,0.32342211754486,162,162,20.6902368187806,0.0686043452114501,1
"purvetant","nonword",746.836696963886,0.445161250945211,131,132,24.7064590355408,0.0960675555781582,0.992424242424242,695.716822147694,0.217339005416891,122,122,18.1959253029159,0.0629291494669042,1,710.482325016664,0.25606196836297,124,124,20.7249117333735,0.0676558659117754,1
"pusse","nonword",698.500831186255,0.158879399880187,154,173,21.4049574507054,0.0868917139959189,0.890173410404624,657.855721106648,-0.0232734330478948,147,147,14.479076171772,0.0540352777288917,1,664.274236504898,-0.00362660831622782,148,148,15.7482686175866,0.0571520082992448,1
"pustoqués","nonword",732.126007771352,0.173688185227007,142,146,25.3515989812857,0.0706295862856207,0.972602739726027,717.232550739514,0.12166967714699,140,140,23.1483416895499,0.060859944880586,1,717.232550739514,0.12166967714699,140,140,23.1483416895499,0.060859944880586,1
