"word","class","avgRT","avgZ_RT","samplesize","n_answered","seRT","seZ_RT","accuracy","Z2.5_avgRT","Z2.5_avgZ_RT","Z2.5_samplesize","Z2.5_n_answered","Z2.5_seRT","Z2.5_seZ_RT","Z2.5_accuracy","Z3.0_avgRT","Z3.0_avgZ_RT","Z3.0_samplesize","Z3.0_n_answered","Z3.0_seRT","Z3.0_seZ_RT","Z3.0_accuracy"
"conot","nonword",694.788689513162,0.0708978315258256,905,969,8.33416746508165,0.0249940987522089,0.933952528379773,673.954546692456,0.00952744003181039,889,889,6.30940775992476,0.0198212822205517,1,679.828911742549,0.0272583939719619,895,895,6.7249336144304,0.0209716563250504,1
"conquately","nonword",890.706429267969,0.88223127849155,827,985,14.498357264024,0.0472472168357065,0.839593908629442,783.381946507935,0.497819458823298,729,729,9.56766157688221,0.0300977245500467,1,812.208501977281,0.592329259042501,761,761,11.0653182206811,0.0331668588473149,1
"conservaclysms","nonword",763.084753526285,0.308659762420796,994,1027,11.4149761609232,0.0345311384326493,0.967867575462512,707.113290565303,0.125478683034492,943,943,8.12264487827253,0.0237464499623072,1,720.913481255138,0.171506501204081,960,960,8.79416134240279,0.0258255290909188,1
"conservative","word",708.692566934579,0.147950135195048,932,959,10.0861423812573,0.0348226267914598,0.9718456725756,670.197191489205,-0.00416912600562149,895,895,7.75762497055922,0.0235444197330417,1,684.004628709702,0.0468145924785433,912,912,8.45182845062702,0.0261654077269263,1
"consider","word",625.789484177893,-0.155686832232427,917,954,8.34189489419976,0.030516675244035,0.961215932914046,605.910579170803,-0.233425433457658,903,903,6.18370954463663,0.0206964796443241,1,608.699622506882,-0.22327333320124,906,906,6.372114662399,0.0214444142253095,1
"conspiracy","word",701.765719174173,0.0881686663687679,876,932,9.94484301951207,0.0321880374346684,0.939914163090129,670.19541342383,-0.0311654983338731,849,849,7.49575311623174,0.0218538244986664,1,678.238053546784,0.000920238501014134,859,859,7.91637337258897,0.0238464369492799,1
"constantly","word",646.588516057958,-0.0992751653848334,934,960,8.27402850137906,0.0274927533388568,0.972916666666667,625.935843542758,-0.177872991761543,914,914,6.65558106435856,0.021293017786625,1,632.296845984774,-0.152602615316113,922,922,7.00411455643295,0.0229100568505686,1
"constat","nonword",839.16192286642,0.666040357653737,726,913,14.3342317172522,0.0485382544847334,0.795180722891566,762.590361735373,0.375409387784683,669,669,9.96249836225341,0.0291399378896157,1,772.677339208147,0.417405529897828,681,681,10.2836212645794,0.0310534507931712,1
"constiturates","nonword",937.479776734955,1.03148465545299,851,1002,16.0942136959558,0.0541332618902332,0.849301397205589,793.161667588529,0.505096131385357,725,725,10.1692690882531,0.0301212494909476,1,817.756060849203,0.59729923366056,756,756,10.9959062110189,0.0331465614190873,1
"constitution","word",677.164172411754,0.01219031144933,986,1006,8.49026680614384,0.0271822881213174,0.980119284294235,655.665380556331,-0.0582407094681314,967,967,6.85554577086508,0.0219141116961415,1,662.089053440992,-0.0414281861561605,973,973,7.33907095646734,0.0228308102353384,1
"construction","word",661.655702126591,-0.0217191513463179,893,912,8.80536455071804,0.0322213513605354,0.979166666666667,633.629986190135,-0.141789052210129,869,869,6.56193500313405,0.0199297321185377,1,636.465673164162,-0.131517139400998,872,872,6.75505071323508,0.0207265912317236,1
"contaboy","nonword",780.225588989347,0.415747276179937,871,928,10.1878546316108,0.0311216028583108,0.938577586206897,748.352880822363,0.296599060985941,839,839,8.41059860859952,0.0231929111717361,1,758.314538744173,0.333806433051367,852,852,8.85435111188113,0.0250389715590808,1
"contact","word",621.961788501862,-0.223288954661328,918,949,8.89767517299448,0.029180954203572,0.967334035827186,594.261514877069,-0.318011655043978,897,897,6.15371472437781,0.0201774784420358,1,600.686789651307,-0.294372053921535,904,904,6.64249815750199,0.021915211275644,1
"contain","word",640.907252806541,-0.144033773266071,981,1017,8.27979304498711,0.0272931371961218,0.964601769911504,614.78728184022,-0.233013675852308,958,958,6.23393357806792,0.0201464680032567,1,624.910847110856,-0.202195942554215,968,968,7.01222232910424,0.0221765227249592,1
